 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 18  0
 Used Nearest Grid Point ( 411, 207) to Lat:    39.70, Lon:   -86.28
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   993   240  1021     0     0  19.4  42.6  -2.9  -2.8   993   307   263  68.5   1.1   981  3463  25.3   294   864     0     0     0     0     0  24.2     0  44.0     0   280   7.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.6  -2.1   181  17.5  -4.1  45.1   1.5    290.7  -2.7  -1.9         
   975  -3.4  -2.9   397  15.1  -2.8  47.1   3.1    290.4  -3.6  -2.7         
   950  -4.1  -3.2   616  12.6  -3.0  53.1   3.4    290.0  -4.3  -2.9         
   925  -4.7  -3.4   838   9.9  -2.8  57.5   3.2    289.5  -4.9  -3.1         
   900  -4.7  -3.7  1065   7.7  -2.9  64.4   3.2    289.5  -5.0  -3.4         
   875  -4.9  -3.7  1296   5.8  -2.8  73.7   3.0    289.8  -5.1  -3.4         
   850  -4.8  -3.9  1532   3.5  -2.7  81.9   2.7    289.8  -5.1  -3.5         
   825  -5.2  -4.4  1774   1.7  -1.5  81.1   2.3    290.5  -5.4  -4.1         
   800  -5.9  -5.0  2021  0.58  -2.0  67.3   1.4    291.8  -6.2  -4.6         
   775  -5.2  -5.1  2275 -0.55     0  62.1  0.39    293.2  -5.5  -4.7         
   750  -3.6  -4.6  2537  -2.2     0  69.0     0    294.2  -3.9  -4.3         
   725  -1.7  -3.5  2805  -3.6  -1.1  65.6     0    295.6  -1.9  -3.4         
   700  0.80  -3.0  3082  -5.1     0  47.1     0    296.9   0.6  -3.0         
   650   6.1  -2.8  3662  -6.2  0.64   5.0     0    302.0   5.9  -3.2         
   600   9.8  -1.6  4284  -8.7   1.9   7.0     0    306.0   9.7  -2.3         
   550  12.1 -0.59  4953 -13.1   2.0   5.0  2E-2    308.5  12.0  -1.4         
   500  17.4   1.2  5671 -17.1   1.7   3.0  2E-2    312.2  17.4   0.1         
   450  25.2   4.5  6455 -21.4   1.8   4.0  2E-2    316.3  25.4   2.9         
   400  27.6   6.4  7311 -28.2   2.0  19.0  2E-2    318.3  28.0   4.6         
   350  27.5   8.0  8252 -36.3   1.6  21.0  2E-2    319.9  27.9   6.2         
   300  28.6   8.5  9301 -45.1  0.51  32.0  2E-2    321.8  29.1   6.6         
   250  35.4   6.7 10495 -52.1  0.45  27.0  2E-2    328.6  35.7   4.4         
   200  31.4   7.7 11929 -54.4 -0.43   3.0  2E-2    346.6  31.9   5.6         
   150  23.8   5.5 13769 -54.6  0.15     0  2E-2    376.0  24.1   3.9         
   100  16.3   2.8 16338 -58.9 -0.19   1.3  2E-2    414.0  16.5   1.8         
    50   5.5   2.1 20669 -57.3 -0.53   1.4  2E-2    508.4   5.6   1.8         
