 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 18  0
 Used Nearest Grid Point ( 412, 206) to Lat:    39.59, Lon:   -86.15
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   994   232  1021     0  0.12  19.3  46.6  -2.9  -2.9   994   387   231  60.7  0.28   973  3463  23.6   289   744     0     0     0     0     0  24.2  12.0  60.0     0   279   7.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.8  -2.7   180  17.4  -2.8  47.1   1.2    290.6  -3.0  -2.5         
   975  -3.4  -3.3   396  15.0  -2.8  51.1   2.9    290.2  -3.6  -3.0         
   950  -4.3  -3.6   615  12.4  -3.0  56.1   3.1    289.8  -4.5  -3.3         
   925  -4.6  -3.8   837   9.9  -2.8  60.5   3.2    289.5  -4.8  -3.5         
   900  -4.7  -3.9  1064   7.7  -2.9  68.4   3.1    289.5  -5.0  -3.6         
   875  -4.7  -4.1  1295   5.7  -2.8  78.7   2.8    289.7  -5.0  -3.8         
   850  -4.7  -4.2  1531   3.5  -2.7  86.9   2.5    289.8  -5.0  -3.9         
   825  -5.2  -4.7  1773   1.9  -1.5  80.1   1.9    290.6  -5.4  -4.3         
   800  -5.7  -5.1  2020  0.83 -0.72  71.3   1.1    292.1  -6.0  -4.7         
   775  -4.9  -5.2  2275 -0.30     0  69.1  0.33    293.5  -5.3  -4.8         
   750  -3.7  -4.7  2536  -2.1     0  73.0     0    294.3  -4.0  -4.4         
   725  -1.9  -3.9  2805  -3.4  0.66  65.6     0    295.7  -2.2  -3.8         
   700  0.55  -3.2  3082  -4.8  0.92  47.1     0    297.2   0.3  -3.3         
   650   6.2  -2.6  3662  -6.1  0.64   6.0     0    302.1   6.1  -3.0         
   600  10.1  -1.4  4285  -8.5   1.9   6.0     0    306.3   9.9  -2.0         
   550  12.4 -0.21  4954 -12.9   2.0   4.0  2E-2    308.8  12.3  -1.0         
   500  18.2   1.6  5674 -16.7   1.7   2.0  2E-2    312.7  18.2   0.4         
   450  25.4   4.7  6458 -21.3   1.8   6.0  2E-2    316.5  25.7   3.0         
   400  28.0   6.7  7315 -28.1   2.0  23.0  2E-2    318.5  28.3   4.8         
   350  28.5   8.9  8256 -36.1   1.6  20.0  2E-2    320.0  29.0   7.0         
   300  30.1   9.4  9306 -45.0 -0.81  33.0  2E-2    321.9  30.7   7.4         
   250  37.8   7.4 10502 -52.0  0.45  27.0  2E-2    328.8  38.2   4.9         
   200  32.8   8.3 11935 -54.8 -0.43   4.0  2E-2    346.0  33.3   6.1         
   150  24.2   5.6 13773 -54.9  0.15     0  2E-2    375.5  24.5   4.0         
   100  15.8   2.8 16340 -59.0 -0.19   1.3  2E-2    413.8  16.0   1.8         
    50   5.6   2.0 20669 -57.3 -0.53   1.4  2E-2    508.4   5.7   1.6         
