 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 18  0
 Used Nearest Grid Point ( 412, 207) to Lat:    39.70, Lon:   -86.14
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   994   232  1021     0     0  19.4  42.6  -2.8  -3.1   994   311   263  66.9  0.28   981  3463  25.1   289   744     0     0     0     0     0  24.2     0  44.0     0   280   7.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.6  -2.7   181  17.5  -4.1  44.1   1.4    290.7  -2.7  -2.6         
   975  -3.3  -3.3   396  15.1  -2.8  47.1   3.1    290.4  -3.5  -3.0         
   950  -4.0  -3.6   615  12.6  -3.0  53.1   3.4    290.0  -4.2  -3.3         
   925  -4.6  -3.9   837   9.9  -2.8  57.5   3.2    289.5  -4.8  -3.6         
   900  -4.6  -4.0  1064   7.7  -2.9  64.4   3.2    289.5  -4.9  -3.7         
   875  -4.6  -4.1  1295   5.7  -1.5  74.7   2.9    289.7  -4.9  -3.8         
   850  -4.6  -4.2  1532   3.5  -1.4  82.9   2.6    289.8  -4.8  -3.9         
   825  -5.2  -4.7  1773   1.9  -1.5  77.1   2.2    290.6  -5.4  -4.3         
   800  -5.7  -5.2  2021  0.58 -0.72  66.3   1.4    291.8  -6.0  -4.9         
   775  -4.9  -5.2  2275 -0.43     0  63.1  0.39    293.4  -5.3  -4.8         
   750  -3.5  -4.7  2536  -2.2     0  70.0     0    294.2  -3.8  -4.4         
   725  -1.8  -3.8  2805  -3.6  0.66  65.6     0    295.6  -2.0  -3.7         
   700  0.55  -3.1  3081  -5.1     0  48.1     0    296.9   0.3  -3.1         
   650   6.0  -2.6  3661  -6.3 -0.68   7.0     0    301.8   5.8  -3.0         
   600   9.8  -1.5  4284  -8.7  0.58   6.0     0    306.0   9.7  -2.1         
   550  12.2 -0.46  4952 -13.1   2.0   5.0  2E-2    308.5  12.2  -1.3         
   500  17.5   1.4  5671 -16.9  0.65   3.0  2E-2    312.4  17.6   0.2         
   450  25.2   4.7  6455 -21.4   1.8   4.0  2E-2    316.3  25.4   3.0         
   400  27.8   6.6  7311 -28.1   2.0  21.0  2E-2    318.5  28.2   4.7         
   350  27.8   8.4  8252 -36.3   1.6  21.0  2E-2    319.9  28.3   6.5         
   300  29.1   8.9  9301 -45.1  0.51  33.0  2E-2    321.8  29.6   6.9         
   250  35.9   7.0 10496 -52.1  0.45  27.0  2E-2    328.6  36.3   4.7         
   200  31.8   8.0 11929 -54.6 -0.43   3.0  2E-2    346.4  32.3   6.0         
   150  23.8   5.5 13769 -54.6  0.15     0  2E-2    376.0  24.1   3.9         
   100  16.2   2.8 16338 -59.0 -0.19   1.3  2E-2    413.8  16.4   1.8         
    50   5.5   2.1 20668 -57.3 -0.53   1.4  2E-2    508.4   5.6   1.7         
