 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 18  0
 Used Nearest Grid Point ( 413, 206) to Lat:    39.58, Lon:   -86.01
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   994   232  1021     0  0.12  19.3  46.6  -2.8  -3.1   994   375   239  60.7  0.28   973  3463  23.8   290   744     0     0     0     0     0  24.2   2.0  60.0     0   280   7.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.7  -2.9   180  17.4  -2.8  47.1   1.2    290.6  -2.9  -2.7         
   975  -3.4  -3.5   395  15.0  -2.8  50.1   2.9    290.2  -3.7  -3.3         
   950  -4.1  -3.8   614  12.4  -3.0  56.1   3.1    289.8  -4.4  -3.6         
   925  -4.6  -4.1   836   9.9  -1.9  59.5   3.0    289.5  -4.8  -3.8         
   900  -4.6  -4.3  1063   7.7  -1.6  67.4   3.0    289.5  -4.9  -4.0         
   875  -4.6  -4.5  1294   5.7  -1.5  77.7   2.8    289.7  -4.9  -4.1         
   850  -4.6  -4.5  1530   3.5  -1.4  86.9   2.5    289.8  -4.9  -4.2         
   825  -5.0  -4.9  1772   1.9     0  80.1   2.1    290.6  -5.3  -4.6         
   800  -5.4  -5.2  2020  0.96 -0.72  73.3   1.3    292.2  -5.8  -4.9         
   775  -4.7  -5.3  2274 -0.30     0  72.1  0.39    293.5  -5.0  -5.0         
   750  -3.6  -4.8  2536  -2.1  0.57  75.0     0    294.3  -3.9  -4.6         
   725  -2.0  -3.9  2804  -3.4  0.66  66.6     0    295.7  -2.3  -3.8         
   700  0.30  -3.4  3081  -4.8     0  50.1     0    297.2   0.1  -3.4         
   650   6.1  -2.6  3661  -6.2  0.64   8.0     0    302.0   5.9  -3.0         
   600  10.2  -1.2  4285  -8.4  0.58   5.0     0    306.5  10.1  -1.9         
   550  12.6  4E-2  4953 -12.9   2.0   4.0  2E-2    308.8  12.6  -0.8         
   500  18.3   1.9  5674 -16.6  0.65   2.0  2E-2    312.9  18.4   0.7         
   450  25.5   4.8  6458 -21.2   1.8   7.0  2E-2    316.6  25.8   3.1         
   400  28.1   6.9  7315 -28.1   2.0  24.0  2E-2    318.5  28.5   5.1         
   350  29.0   9.2  8256 -36.0  0.27  20.0  2E-2    320.2  29.5   7.3         
   300  30.6   9.9  9306 -44.9 -0.81  34.0  2E-2    322.1  31.2   7.8         
   250  38.3   7.8 10502 -52.0  0.45  28.0  2E-2    328.8  38.7   5.2         
   200  33.2   8.5 11935 -54.8  0.67   5.0  2E-2    346.0  33.7   6.3         
   150  24.3   5.7 13773 -54.9  0.15     0  2E-2    375.5  24.6   4.1         
   100  15.7   2.7 16340 -59.0 -0.19   1.3  2E-2    413.7  15.8   1.7         
    50   5.6   2.0 20669 -57.3 -0.53   1.4  2E-2    508.4   5.7   1.6         
