 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 21  0
 Used Nearest Grid Point ( 412, 208) to Lat:    39.80, Lon:   -86.13
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   992   248  1021     0     0  18.9  36.5  -2.2  -4.5   992   187   199  74.6   1.1   672  2822  24.3   296   864     0     0     0     0     0  24.2     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.9  -3.9   174  17.8  1.00  37.1   1.5    291.0  -2.1  -3.7         
   975  -2.4  -4.9   389  16.1   1.9  38.1   2.8    291.4  -2.8  -4.8         
   950  -2.5  -5.2   609  13.8   2.5  43.1   2.9    291.2  -2.9  -5.0         
   925  -2.6  -5.2   832  11.6   3.9  48.2   2.8    291.1  -2.9  -5.1         
   900  -2.6  -5.4  1060   9.3   4.7  53.9   2.6    291.1  -2.9  -5.2         
   875  -2.5  -5.4  1293   7.1   6.0  60.7   2.2    291.2  -2.9  -5.2         
   850  -2.5  -5.4  1530   4.7   6.9  68.8   2.1    291.1  -2.9  -5.2         
   825  -2.9  -5.6  1773   2.8   7.0  51.2   1.4    291.5  -3.3  -5.4         
   800  -2.1  -5.6  2021   1.1   7.9  48.2  0.53    292.3  -2.5  -5.4         
   775 -0.71  -4.8  2275 -0.64   6.2  58.0  0.12    293.1  -1.0  -4.8         
   750  0.77  -3.7  2536  -2.1   6.3  59.2     0    294.3   0.5  -3.8         
   725   2.3  -2.6  2804  -3.6   3.2  52.0     0    295.6   2.1  -2.7         
   700   3.6  -2.5  3081  -4.6   4.5  28.6     0    297.4   3.5  -2.7         
   650   6.5  -3.3  3662  -5.8   2.7   3.2     0    302.4   6.3  -3.8         
   600  10.1  -2.6  4285  -8.7   4.4   5.7     0    306.1  10.0  -3.2         
   550  13.1  -1.7  4953 -13.2   6.2   9.0     0    308.4  12.9  -2.6         
   500  18.7 -0.88  5672 -17.1   3.4   4.0  2E-2    312.2  18.6  -2.1         
   450  26.7   1.7  6454 -21.7   3.8   3.0  2E-2    316.0  26.8  -0.0         
   400  30.1   4.9  7310 -28.2   3.2   1.1  2E-2    318.4  30.4   3.0         
   350  30.6   6.7  8252 -35.6   2.7   6.2  2E-2    320.7  31.0   4.6         
   300  31.9   6.5  9304 -44.7   1.5  36.4  2E-2    322.3  32.2   4.4         
   250  36.5   5.6 10500 -52.3     0  27.1  2E-2    328.3  36.8   3.2         
   200  33.1   6.2 11930 -54.4  0.85   6.0  2E-2    346.7  33.4   4.0         
   150  26.8   5.7 13767 -55.5     0     0  2E-2    374.4  27.1   3.9         
   100  16.7   4.1 16329 -59.0 -0.19   1.3  2E-2    413.7  16.9   3.0         
    50   4.5   1.2 20662 -56.9  1E-1   1.3  2E-2    509.4   4.6   0.9         
