 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 21  0
 Used Nearest Grid Point ( 413, 206) to Lat:    39.58, Lon:   -86.01
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   993   232  1020     0     0  18.5  44.5  -2.0  -4.6   993   303   119  55.9  0.28   664  2822  21.3   291   744     0     0     0     0     0  24.2     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.9  -4.5   173  17.7   1.9  41.1  0.89    290.8  -2.2  -4.4         
   975  -2.3  -5.3   388  16.0   1.9  42.1   2.0    291.3  -2.7  -5.1         
   950  -2.4  -5.5   608  13.8   4.7  47.1   2.1    291.2  -2.8  -5.4         
   925  -2.4  -5.6   831  11.6   4.8  52.2   2.1    291.1  -2.7  -5.5         
   900  -2.4  -5.6  1059   9.3   7.3  58.9   2.0    291.1  -2.8  -5.4         
   875  -2.4  -5.6  1292   7.0   7.7  65.7   1.8    291.1  -2.8  -5.4         
   850  -2.5  -5.5  1529   4.7   6.9  74.8   1.5    291.1  -2.9  -5.4         
   825  -3.2  -5.4  1772   2.8   7.0  53.2   1.0    291.5  -3.5  -5.2         
   800  -3.2  -5.0  2020   1.3   6.1  42.2  0.34    292.6  -3.5  -4.7         
   775  -2.1  -4.5  2274 -0.14   6.2  53.0     0    293.7  -2.4  -4.3         
   750 -0.73  -3.5  2536  -1.6   2.7  59.2     0    294.8  -1.0  -3.4         
   725  0.80  -2.4  2805  -3.2   3.2  53.0     0    296.0   0.6  -2.5         
   700   2.9  -2.6  3082  -4.4   4.5  30.6     0    297.6   2.7  -2.8         
   650   7.0  -3.5  3664  -5.5   2.7   3.2     0    302.8   6.7  -3.9         
   600  10.6  -2.2  4287  -8.3   8.0   5.7     0    306.6  10.5  -2.9         
   550  13.3  -1.1  4956 -12.9   6.2   7.0     0    308.8  13.2  -2.0         
   500  19.3 -0.26  5676 -16.5   3.4   2.0  2E-2    312.9  19.3  -1.5         
   450  27.5   2.1  6461 -21.1   2.1   2.0  2E-2    316.8  27.6   0.3         
   400  29.6   5.1  7318 -28.0   3.2  17.1  2E-2    318.6  29.9   3.1         
   350  30.2   6.9  8260 -35.6   2.7  17.2  2E-2    320.7  30.6   4.9         
   300  34.6   7.2  9313 -44.4  0.61  30.4  2E-2    322.9  35.0   4.9         
   250  41.3   6.8 10511 -52.2     0  29.1  2E-2    328.4  41.7   4.0         
   200  35.2   6.7 11940 -55.0  0.85  11.0  2E-2    345.7  35.6   4.3         
   150  27.6   6.1 13774 -55.9     0   1.0  2E-2    373.8  27.9   4.2         
   100  16.2   3.8 16334 -59.1 -0.19   1.3  2E-2    413.5  16.4   2.7         
    50   4.4   1.3 20664 -56.9  1E-1   1.3  2E-2    509.4   4.5   1.0         
