lon,lat,alt
-86.173300,39.787570,216
-86.173508,39.785483,316
-86.174273,39.782950,429
-86.176047,39.781223,530
-86.178100,39.779345,632
-86.180572,39.777503,734
-86.182228,39.775973,835
-86.183233,39.774275,936
-86.184508,39.772145,1040
-86.185713,39.770303,1147
-86.187268,39.768292,1253
-86.188467,39.766763,1356
-86.189838,39.765098,1458
-86.190722,39.763737,1566
-86.191530,39.762708,1673
-86.192448,39.761445,1779
-86.194413,39.759903,1882
-86.196403,39.757805,1983
-86.198583,39.755067,2083
-86.203003,39.749390,2185
-86.206435,39.745450,2288
-86.209022,39.742290,2393
-86.211408,39.739965,2505
-86.212375,39.737958,2617
-86.212192,39.735228,2734
-86.211172,39.732422,2842
-86.209842,39.730828,2946
-86.207688,39.729953,3046
-86.205470,39.729575,3146
-86.203013,39.728057,3248
-86.199162,39.725928,3357
-86.192920,39.722417,3472
-86.187725,39.719330,3576
-86.183455,39.717145,3676
-86.178330,39.715075,3779
-86.171795,39.712695,3883
-86.164255,39.709915,3990
-86.156972,39.707397,4096
-86.149598,39.705185,4196
-86.142645,39.703090,4296
-86.135527,39.700857,4399
-86.128207,39.699055,4502
-86.120033,39.697698,4603
-86.110585,39.696118,4705
-86.100412,39.694122,4807
-86.085980,39.691377,4929
-86.074238,39.689325,5031
-86.059293,39.686873,5156
