 alt    temp   hum  wind-dir spd
(m-AGL)  (C)   (%)  (°)          (m/s)
  4900  -12.3    4      283 13.8
  4800  -11.5    3      280 13.6
  4700  -10.8    5      281 14.0
  4600  -10.3    7      282 12.8
  4500   -9.8    7      280 12.3
  4400   -9.2    7      280 11.5
  4300   -8.5    6      284 11.2
  4200   -7.8    6      288 11.1
  4100   -7.2    5      290 10.4
  4000   -6.5    4      289 9.2
  3900   -5.8    3      289 8.2
  3800   -5.0    3      291 8.0
  3700   -4.4    4      294 8.3
  3600   -4.0    4      296 8.5
  3500   -3.6    3      298 8.4
  3400   -3.8    4      301 8.0
  3300   -4.0    5      306 7.3
  3200   -4.2    9      309 6.6
  3100   -4.6   21      306 5.7
  3000   -4.4   24      296 4.4
  2900   -4.4   41      288 3.2
  2800   -3.2   39      296 2.8
  2700   -2.9   45      321 3.0
  2600   -2.7   56      339 4.1
  2500   -2.6   57        9 4.0
  2400   -2.3   55      349 3.4
  2300   -1.9   55       34 4.6
  2200   -1.5   59       37 5.1
  2100   -0.9   64       12 5.1
  2000   -0.2   66       34 5.4
  1900    0.8   63       31 5.2
  1800    1.6   60       30 4.6
  1700    2.6   58       57 4.1
  1600    3.5   54       50 4.3
  1500    4.5   50       20 4.7
  1400    5.6   48       30 5.1
  1300    6.5   46       27 5.4
  1200    7.4   44       30 5.8
  1100    8.3   42       32 6.4
  1000    9.4   40       32 6.7
   900   10.4   38       27 6.4
   800   11.2   36       20 6.0
   700   12.3   34       22 6.6
   600   13.3   33       29 6.6
   500   14.3   32      319 7.8
   400   15.3   30       70 8.6
   300   16.3   29       38 6.5
   200   17.3   27       19 6.9
   100   18.1   26        1 6.5
    10   21.3   25      326 3.4
