 Meteorological Profile: 20160519_nam12
 File start time : 16  5 19  0  0
 File ending time: 16  5 19 21  0
 
___________________________________________________ 
 Profile Time:  16  5 19 18  0
 Used Nearest Grid Point ( 410, 207) to Lat:    39.71, Lon:   -86.41
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   992   248  1021     0     0  20.8  38.7  -3.3  -1.1   992   417   194  58.3  0.28   997  3194  23.8   287   744     0     0     0     0     0  24.2     0     0     0   280   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.7 -0.92   180  19.0  -6.4  37.2   1.0    292.1  -2.7  -0.8         
   975  -3.5  -1.3   397  16.5  -5.6  38.2   2.5    291.8  -3.5  -1.1         
   950  -4.1  -1.7   617  13.9  -4.7  42.2   2.8    291.3  -4.2  -1.4         
   925  -4.3  -1.8   840  11.6  -4.7  45.0   2.8    291.2  -4.4  -1.6         
   900  -4.5  -1.8  1068   9.6  -2.9  50.0   2.6    291.4  -4.6  -1.5         
   875  -4.7  -1.8  1301   7.3  -3.1  59.5   2.2    291.4  -4.8  -1.5         
   850  -4.6  -1.9  1538   4.9  -2.4  69.3   2.2    291.3  -4.8  -1.6         
   825  -5.6  -1.9  1781   3.0  -2.8  53.3   1.5    291.7  -5.7  -1.6         
   800  -6.8  -2.1  2029   2.6  -2.4  27.1  0.56    293.9  -6.9  -1.7         
   775  -6.5  -2.4  2286   2.3  -1.1  30.0     0    296.3  -6.7  -2.0         
   750  -5.5  -2.4  2550   1.1 -0.76  27.6     0    297.7  -5.7  -2.0         
   725  -3.7  -2.5  2821  0.38  -1.2  20.2     0    299.9  -3.8  -2.2         
   700  -1.7  -2.3  3102 -0.32     0  12.6     0    302.1  -1.8  -2.2         
   650   1.1  -1.8  3691  -3.2  -1.1   7.4     0    305.3   1.0  -1.9         
   600   3.3  -1.7  4319  -7.2     0   7.0     0    307.8   3.2  -1.9         
   550   7.3  -3.5  4992 -11.0   2.0   4.0  2E-2    311.0   7.1  -4.0         
   500  11.4  -3.5  5715 -16.3   3.7   5.0  2E-2    313.2  11.1  -4.2         
   450  15.6  -2.8  6500 -21.4   3.4   8.0  2E-2    316.3  15.4  -3.8         
   400  19.1  -1.7  7356 -28.4   1.9  13.0  2E-2    318.1  19.0  -2.9         
   350  23.6 -0.85  8296 -36.5   1.5  29.0  2E-2    319.6  23.5  -2.3         
   300  29.4   1.7  9345 -45.0  0.75  47.0  2E-2    322.0  29.5  -0.2         
   250  40.3  0.61 10539 -53.1   3.2  36.0  2E-2    327.2  40.2  -1.9         
   200  35.0   3.3 11960 -56.1  0.93  26.0  2E-2    343.9  35.1   1.0         
   150  26.7   4.6 13784 -57.5  -1.1   3.0  2E-2    371.0  26.9   2.9         
   100  15.7   5.0 16332 -58.9 -0.99   1.3  2E-2    414.0  16.0   4.0         
    50   5.1   4.0 20669 -57.9  3E-2   1.3  2E-2    507.1   5.3   3.6         
