 Meteorological Profile: 20160519_nam12
 File start time : 16  5 19  0  0
 File ending time: 16  5 19 21  0
 
___________________________________________________ 
 Profile Time:  16  5 19 18  0
 Used Nearest Grid Point ( 412, 208) to Lat:    39.80, Lon:   -86.13
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   993   248  1021     0     0  21.5  31.7  -3.3  -1.1   993   177   310  80.1   1.1   997  3194  28.0   294   864     0     0     0     0     0  24.2     0     0     0   280   8.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.7 -0.92   181  19.0  -5.6  35.2   1.7    292.1  -2.7  -0.7         
   975  -3.5  -1.2   397  16.5  -4.7  37.2   3.2    291.8  -3.5  -1.0         
   950  -4.0  -1.6   617  13.8  -4.7  42.2   3.5    291.2  -4.1  -1.3         
   925  -4.3  -1.7   840  11.5  -4.7  45.0   3.5    291.0  -4.4  -1.4         
   900  -4.6  -1.5  1068   9.3  -4.7  51.0   3.2    291.1  -4.7  -1.2         
   875  -4.7  -1.5  1301   7.2  -3.9  59.5   3.0    291.3  -4.8  -1.2         
   850  -4.8  -1.5  1538   4.9  -3.3  70.3   2.8    291.3  -4.9  -1.2         
   825  -5.6  -1.3  1781   3.0  -2.8  51.3   2.0    291.7  -5.7  -0.9         
   800  -6.5  -1.6  2029   2.5  -2.4  26.1  0.75    293.8  -6.6  -1.2         
   775  -6.2  -2.3  2285   2.2  -2.9  30.0     0    296.1  -6.3  -1.9         
   750  -5.1  -2.6  2549  0.82 -0.76  28.6     0    297.5  -5.3  -2.3         
   725  -3.5  -2.7  2821  0.13     0  21.2     0    299.6  -3.7  -2.5         
   700  -1.7  -2.8  3101 -0.57     0  13.6     0    301.9  -1.9  -2.7         
   650   1.2  -2.2  3690  -3.4  0.22   7.4     0    305.2   1.1  -2.3         
   600   3.3  -2.1  4317  -7.4     0   7.0     0    307.5   3.2  -2.3         
   550   7.1  -3.8  4989 -11.3   2.0   4.0  2E-2    310.7   6.8  -4.2         
   500  11.7  -4.4  5712 -16.5   3.7   5.0  2E-2    312.9  11.4  -5.2         
   450  16.2  -3.5  6496 -21.5   3.4   9.0  2E-2    316.2  15.9  -4.6         
   400  19.4  -2.3  7352 -28.4   1.9  15.0  2E-2    318.1  19.2  -3.6         
   350  23.0  -1.1  8291 -36.6   1.5  22.0  2E-2    319.4  22.9  -2.6         
   300  28.7   1.6  9340 -45.2  0.75  45.0  2E-2    321.6  28.7  -0.3         
   250  37.2   1.5 10532 -53.3   2.4  37.0  2E-2    326.8  37.2  -0.9         
   200  33.7   3.8 11954 -55.6   2.2  23.0  2E-2    344.7  33.9   1.5         
   150  26.6   4.4 13781 -57.3  -1.1   3.0  2E-2    371.4  26.8   2.6         
   100  16.0   5.1 16329 -58.9 -0.99   1.3  2E-2    414.0  16.3   4.0         
    50   5.1   4.0 20667 -57.7  3E-2   1.3  2E-2    507.4   5.3   3.6         
