 Meteorological Profile: 20160519_nam12
 File start time : 16  5 19  0  0
 File ending time: 16  5 19 21  0
 
___________________________________________________ 
 Profile Time:  16  5 19 21  0
 Used Nearest Grid Point ( 411, 206) to Lat:    39.60, Lon:   -86.29
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   994   232  1022     0     0  19.9  43.3  -4.0 -0.63   994   323  94.2  47.2  0.28   674  2820  22.1   290   720     0     0     0     0     0  24.2     0     0     0   281   8.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -3.9 -0.57   185  19.1     0  38.9  0.75    292.2  -3.9  -0.3         
   975  -4.4 -0.72   401  17.4     0  39.9   1.8    292.6  -4.5  -0.4         
   950  -4.7 -0.75   622  15.2   2.5  43.5   1.9    292.6  -4.7  -0.4         
   925  -4.8 -0.82   847  13.0   3.8  49.0   1.8    292.6  -4.8  -0.5         
   900  -4.8 -0.80  1076  10.7   4.4  55.1   1.8    292.6  -4.9  -0.5         
   875  -4.9 -0.88  1310   8.3   5.2  62.5   1.5    292.5  -5.0  -0.6         
   850  -4.9 -0.84  1548   6.0   7.6  70.5   1.4    292.4  -5.0  -0.5         
   825  -5.2 -0.89  1792   4.0   8.3  61.5   1.0    292.8  -5.3  -0.6         
   800  -6.3  0.16  2041   3.9   8.0  16.6  0.25    295.3  -6.2   0.6         
   775  -5.5  -1.2  2299   3.3   6.4  23.9     0    297.4  -5.6  -0.8         
   750  -3.6  -1.2  2563   2.1   6.6  20.7     0    298.8  -3.7  -1.0         
   725  -1.8 -0.90  2836   1.6   2.9  13.1     0    301.3  -1.9  -0.8         
   700 -0.11 -0.52  3118  0.63   5.4   9.4     0    303.2  -0.1  -0.5         
   650   2.5  0.53  3708  -3.0     0   6.4     0    305.6   2.6   0.4         
   600   5.0  1E-1  4337  -6.6   3.6   5.3     0    308.5   5.0  -0.2         
   550   7.7  -1.3  5011 -10.6   7.9   3.3     0    311.5   7.6  -1.8         
   500  11.2  -1.1  5736 -15.4   7.0   4.4  2E-2    314.2  11.1  -1.8         
   450  15.4  -1.6  6523 -21.0   9.2   7.1  2E-2    316.8  15.3  -2.6         
   400  19.8  -1.8  7379 -28.0   8.9  15.0  2E-2    318.6  19.6  -3.1         
   350  24.8 -0.93  8322 -35.6   8.0  26.0  2E-2    320.7  24.7  -2.5         
   300  36.4  -6.0  9377 -43.0   7.4  19.4  2E-2    324.7  35.9  -8.4         
   250  56.8  -5.5 10584 -50.9   4.4  53.6  2E-2    330.4  56.3  -9.2         
   200  47.5  -9.9 12002 -60.7 -0.84  33.0  1E-2    336.7  46.7 -13.0         
   150  28.6   3.0 13804 -59.1  -1.4   4.0  2E-2    368.4  28.8   1.2         
   100  16.6   4.5 16342 -59.2 -0.45   1.3  2E-2    413.3  16.8   3.5         
    50   6.9   1.8 20682 -57.4   1.1   1.3  2E-2    508.3   7.0   1.4         
