 Meteorological Profile: 20160519_nam12
 File start time : 16  5 19  0  0
 File ending time: 16  5 19 21  0
 
___________________________________________________ 
 Profile Time:  16  5 19 21  0
 Used Nearest Grid Point ( 411, 208) to Lat:    39.81, Lon:   -86.27
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   992   248  1022     0     0  20.4  37.3  -4.0 -0.63   992   219   158  59.7   1.1   674  3204  24.8   297   864     0     0     0     0     0  24.2     0     0     0   281   8.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -3.4 -0.57   185  19.3 -0.58  35.9   1.0    292.5  -3.4  -0.3         
   975  -4.2 -0.59   402  17.6 -0.82  37.9   2.5    292.9  -4.2  -0.3         
   950  -4.6 -0.63   623  15.4 -0.97  41.5   2.5    292.9  -4.6  -0.3         
   925  -4.6 -0.69   848  13.2     0  46.0   2.5    292.9  -4.7  -0.4         
   900  -4.7 -0.67  1077  11.0  0.92  52.1   2.4    292.8  -4.7  -0.4         
   875  -4.7 -0.63  1311   8.6   1.7  58.5   2.2    292.7  -4.7  -0.3         
   850  -4.7 -0.71  1549   6.2   2.3  66.5   2.0    292.7  -4.7  -0.4         
   825  -4.9 -0.52  1793   4.0   4.7  69.5   1.5    292.8  -4.9  -0.2         
   800  -5.8 -1E-1  2043   3.5   4.5  27.6  0.62    294.9  -5.8   0.3         
   775  -5.1  -1.2  2300   2.8   6.4  27.9  0.25    296.9  -5.2  -0.9         
   750  -3.8  -1.5  2564   1.7   6.6  21.7     0    298.4  -3.8  -1.2         
   725  -2.2  -1.1  2837   1.3   6.4  15.1     0    300.8  -2.3  -1.0         
   700 -0.49 -0.77  3118  0.13   5.4   9.4     0    302.6  -0.5  -0.7         
   650   2.5  0.41  3708  -3.1   5.1   6.4     0    305.5   2.5   0.2         
   600   4.7  0.34  4335  -7.0   3.6   6.3     0    308.0   4.7   0.0         
   550   7.6  -1.3  5009 -10.9   7.9   3.3     0    311.2   7.5  -1.8         
   500  11.3  -1.3  5733 -15.7  10.5   5.4  2E-2    313.9  11.2  -2.0         
   450  15.1  -1.8  6519 -21.3   9.2  10.1  2E-2    316.5  14.9  -2.8         
   400  18.4  -2.2  7375 -28.4   8.9  10.0  2E-2    318.1  18.2  -3.4         
   350  23.4  -1.6  8316 -36.0   8.0  21.0  2E-2    320.2  23.3  -3.1         
   300  33.9  -5.4  9370 -43.3   7.4  16.4  2E-2    324.4  33.4  -7.6         
   250  57.6  -6.8 10576 -50.9   4.4  51.6  2E-2    330.4  57.0 -10.5         
   200  47.0  -9.3 11993 -60.7 -0.84  34.0  1E-2    336.7  46.3 -12.3         
   150  27.2   2.7 13798 -58.6  -1.4   3.0  2E-2    369.2  27.4   0.9         
   100  16.6   4.5 16339 -59.1 -0.45   1.3  2E-2    413.5  16.8   3.5         
    50   6.9   1.8 20682 -57.3   1.1   1.3  2E-2    508.6   7.0   1.4         
