 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 146, 207) to Lat:    37.74, Lon:  -122.43
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1018     0  1018     0     0  14.9  97.2  -1.5   2.1  1018   8.0   8.4   9.4     0   544   771  15.2   273  1000     0     0     0     0     0  24.2     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.1   2.8   151  14.5   4.7  88.6  0.10    287.6  -2.6   2.3         
   975  -2.0   5.6   366  15.1   3.9  74.9     0    290.3  -3.1   5.1         
   950 -0.79   9.4   586  14.7   4.0  65.0     0    292.1  -2.7   9.0         
   925  0.35  10.7   812  13.4   3.0  65.1     0    293.0  -1.8  10.5         
   900  0.97  11.5  1041  12.3  0.71  59.0     0    294.1  -1.4  11.4         
   875   2.3  12.0  1277  11.5     0  47.5     0    295.7  -0.1  12.2         
   850   4.2  12.5  1519  11.0  -2.6  36.0     0    297.6   1.6  13.1         
   825   5.5  12.9  1767  10.0  -3.7  28.0     0    299.2   2.8  13.7         
   800   6.2  13.3  2022   8.6  -6.2  20.0     0    300.4   3.4  14.2         
   775   6.6  13.6  2284   7.4  -5.7  15.0     0    301.7   3.8  14.6         
   750   6.8  13.6  2552   7.0  -6.9   9.0     0    304.1   3.9  14.7         
   725   7.0  13.7  2830   6.9  -7.1     0     0    307.1   4.1  14.8         
   700   7.5  13.8  3118   6.3  -6.7   1.0  2E-2    309.4   4.6  15.1         
   650   9.3  15.6  3720   2.6  -6.7  26.0  2E-2    311.9   6.0  17.1         
   600  12.2  16.8  4361  -2.2  -5.0  44.0  2E-2    313.6   8.6  19.0         
   550  16.2  16.5  5047  -5.9  -4.2  41.0  2E-2    317.0  12.6  19.5         
   500  20.1  18.3  5785 -11.3  -3.3  51.0  2E-2    319.2  16.0  21.9         
   450  21.2  20.2  6584 -17.2  -1.4  55.0  2E-2    321.6  16.7  24.0         
   400  22.3  20.3  7454 -24.2  -1.0  38.0  2E-2    323.5  17.8  24.4         
   350  25.4  21.4  8415 -29.7  0.37  15.0  2E-2    328.7  20.5  26.1         
   300  26.8  22.5  9497 -38.2   1.7  22.0  2E-2    331.5  21.7  27.5         
   250  25.7  23.9 10720 -49.6   2.7  57.0  2E-2    332.3  20.4  28.6         
   200  36.8  24.6 12146 -57.9   4.5  31.0  2E-2    341.1  31.1  31.5         
   150  36.1  19.7 13936 -62.2   2.2   9.7  2E-2    362.9  31.4  26.6         
   100  16.7  10.2 16413 -66.4  0.45   5.9  2E-2    399.4  14.3  13.3         
    50   1.3  0.54 20643 -62.3   1.1   6.1  2E-2    496.8   1.2   0.8         
