 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 146, 208) to Lat:    37.85, Lon:  -122.46
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  24.1  1018     0     0  15.6  93.2  -1.2   2.1  1016  44.0  48.4  29.7   1.9   544   771  17.7   291   424     0     0     0     0     0  24.2     0     0     0   281   7.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.5   2.8   152  14.5   2.5  90.6  0.48    287.6  -2.0   2.4         
   975  -1.7   5.4   367  14.3  0.33  78.9  0.25    289.6  -2.8   4.9         
   950 -0.54   9.3   587  14.8 -0.42  67.0     0    292.2  -2.4   9.0         
   925  0.60  10.8   812  13.3 -0.54  67.1     0    292.9  -1.6  10.7         
   900  0.97  11.6  1042  12.0  -1.0  62.0     0    293.9  -1.4  11.6         
   875   2.3  12.0  1277  11.2  -1.0  51.5     0    295.5  -0.1  12.2         
   850   4.1  12.3  1519  10.7  -3.4  38.0     0    297.4   1.5  12.9         
   825   5.4  12.9  1767   9.9  -3.7  29.0     0    299.1   2.7  13.7         
   800   6.2  13.4  2022   8.5  -4.4  21.0     0    300.2   3.3  14.4         
   775   6.6  13.7  2283   7.1  -5.7  16.0     0    301.5   3.8  14.8         
   750   6.9  13.9  2551   6.6  -6.0  10.0     0    303.7   4.0  15.0         
   725   7.2  13.9  2829   6.7  -6.2     0     0    306.8   4.3  15.1         
   700   7.6  14.1  3116   6.1  -5.9     0  2E-2    309.3   4.6  15.3         
   650   9.6  15.8  3718   2.6  -5.4  26.0  2E-2    311.9   6.2  17.4         
   600  12.3  17.0  4359  -2.3  -4.1  42.0  2E-2    313.4   8.6  19.1         
   550  16.2  16.5  5044  -6.1  -2.9  39.0  2E-2    316.9  12.6  19.5         
   500  20.2  18.3  5783 -11.5  -2.0  50.0  2E-2    319.1  16.2  22.0         
   450  21.3  20.3  6581 -17.2 -0.34  55.0  2E-2    321.6  16.8  24.2         
   400  22.3  20.6  7452 -24.2  0.31  38.0  2E-2    323.5  17.7  24.7         
   350  25.5  21.5  8412 -29.7   1.2  14.0  2E-2    328.7  20.6  26.2         
   300  27.2  22.8  9493 -38.4   1.7  21.0  2E-2    331.3  22.0  27.8         
   250  26.2  24.4 10717 -49.6   2.7  56.0  2E-2    332.3  20.7  29.2         
   200  36.9  24.8 12142 -58.0   3.6  31.0  2E-2    341.0  31.1  31.7         
   150  36.1  19.6 13933 -62.0   1.1   8.7  2E-2    363.3  31.4  26.4         
   100  16.6  10.0 16411 -66.3 -0.10   4.9  2E-2    399.7  14.2  13.2         
    50   1.4  0.42 20643 -62.3 -3E-2   6.1  2E-2    496.8   1.3   0.7         
