 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 147, 208) to Lat:    37.87, Lon:  -122.33
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1014  32.1  1018     0     0  15.3  93.2 -0.79   1.9  1014  24.0  28.4  17.2     0   544   643  16.7   273  1000     0     0     0     0     0  24.2     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.1   2.4   152  14.9   2.5  86.6  0.10    288.0  -1.6   2.2         
   975  -1.7   3.9   368  14.6   3.9  76.9  0.25    289.8  -2.5   3.5         
   950 -0.54   8.5   588  15.1   4.9  65.0     0    292.5  -2.2   8.2         
   925  0.35  10.2   813  13.8   4.7  65.1     0    293.4  -1.7  10.0         
   900  0.84  11.1  1043  12.4   3.3  61.0     0    294.3  -1.4  11.0         
   875   2.1  11.6  1279  11.4  0.75  50.5     0    295.6  -0.3  11.8         
   850   3.9  12.1  1520  10.7  -1.7  38.0     0    297.4   1.4  12.6         
   825   5.3  12.6  1769   9.9  -2.4  28.0     0    299.1   2.6  13.4         
   800   6.2  13.1  2023   8.5  -3.6  21.0     0    300.2   3.4  14.1         
   775   6.6  13.7  2285   7.1  -4.8  15.0     0    301.5   3.8  14.8         
   750   6.9  14.0  2553   6.6  -5.1   9.0     0    303.7   4.0  15.1         
   725   7.1  14.1  2831   6.7  -5.3     0     0    306.8   4.1  15.2         
   700   7.5  14.1  3118   6.0  -6.7   1.0  2E-2    309.1   4.5  15.3         
   650   9.4  15.7  3720   2.6  -5.4  24.0  2E-2    311.9   6.1  17.3         
   600  12.3  16.8  4361  -2.3  -5.0  42.0  2E-2    313.4   8.7  19.0         
   550  16.4  16.4  5046  -6.1  -4.2  39.0  2E-2    316.9  12.8  19.4         
   500  20.4  18.0  5784 -11.3  -3.3  49.0  2E-2    319.2  16.3  21.7         
   450  21.4  20.0  6583 -17.1 -0.34  55.0  2E-2    321.8  17.0  23.8         
   400  22.5  20.2  7454 -24.2   1.6  38.0  2E-2    323.5  18.0  24.3         
   350  25.5  21.3  8415 -29.7   2.6  15.0  2E-2    328.7  20.7  25.9         
   300  27.1  22.4  9496 -38.2   3.0  21.0  2E-2    331.5  22.0  27.4         
   250  25.8  24.0 10719 -49.6   2.7  57.0  2E-2    332.3  20.5  28.7         
   200  36.9  24.3 12145 -57.9   3.6  31.0  2E-2    341.1  31.3  31.2         
   150  36.0  19.2 13936 -62.0   1.1   8.7  2E-2    363.3  31.4  26.0         
   100  16.6   9.8 16414 -66.4 -0.65   4.9  2E-2    399.4  14.3  12.9         
    50   1.4  0.29 20643 -62.3 -3E-2   5.1  2E-2    496.8   1.3   0.6         
