 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 148, 208) to Lat:    37.89, Lon:  -122.19
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1004   120  1018     0     0  17.7  75.2 -0.54   1.7  1004  56.0   108  43.8   1.9   552   771  22.4   292   440     0     0     0     0     0  24.2     0     0     0   280   7.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.74   1.5   153  16.6   1.7  78.6  0.35    289.8  -1.0   1.4         
   975  -1.5   2.3   369  14.8   4.7  77.9  0.50    290.1  -1.9   1.9         
   950 -0.41   7.4   589  15.4   9.7  65.0     0    292.9  -1.9   7.1         
   925  0.22   9.4   814  14.0  10.9  63.1     0    293.7  -1.7   9.3         
   900  0.84  10.3  1045  12.6   8.6  62.0     0    294.5  -1.2  10.3         
   875   1.8  11.0  1281  11.5   5.1  52.5     0    295.7  -0.4  11.1         
   850   3.7  11.8  1522  10.7   2.7  41.0     0    297.4   1.3  12.3         
   825   5.1  12.6  1770   9.8   1.1  29.0     0    299.0   2.5  13.4         
   800   5.9  13.3  2025   8.6     0  21.0     0    300.4   3.2  14.2         
   775   6.5  13.7  2286   7.1  -1.3  16.0     0    301.5   3.7  14.7         
   750   6.8  14.0  2555   6.5  -2.5   9.0     0    303.6   3.8  15.1         
   725   7.0  14.3  2832   6.5  -2.7     0     0    306.6   4.0  15.4         
   700   7.5  14.2  3119   6.0  -4.1     0  2E-2    309.1   4.5  15.4         
   650   9.3  15.4  3722   2.6  -4.5  21.0  2E-2    311.9   6.1  17.0         
   600  12.2  16.8  4362  -2.5  -4.1  44.0  2E-2    313.3   8.6  18.9         
   550  16.4  16.3  5048  -6.1  -5.1  40.0  2E-2    316.9  12.8  19.2         
   500  20.6  17.6  5786 -11.3  -4.2  48.0  2E-2    319.2  16.7  21.4         
   450  21.6  19.7  6585 -17.1  -1.4  55.0  2E-2    321.8  17.2  23.6         
   400  22.6  19.8  7456 -24.1  0.31  39.0  2E-2    323.7  18.2  23.9         
   350  25.6  21.0  8417 -29.6   1.2  16.0  2E-2    328.9  20.9  25.7         
   300  26.8  22.2  9499 -38.2   1.7  22.0  2E-2    331.5  21.9  27.1         
   250  25.4  23.5 10722 -49.6   1.8  58.0  2E-2    332.3  20.2  28.1         
   200  36.8  23.9 12148 -57.9   2.3  31.0  2E-2    341.1  31.3  30.8         
   150  35.8  19.1 13940 -62.1     0   8.7  2E-2    363.1  31.3  25.8         
   100  16.5   9.7 16416 -66.5 -0.65   5.9  2E-2    399.2  14.2  12.8         
    50   1.3  0.17 20644 -62.3 -3E-2   6.1  2E-2    496.8   1.2   0.4         
