 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 148, 210) to Lat:    38.10, Lon:  -122.25
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  40.1  1018     0     0  18.1  74.2 -0.29   1.5  1013  28.0   148  42.2   1.1   544   643  23.7   291   840     0     0     0     0     0  24.2     0     0     0   280   7.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.37   1.5   152  15.7   3.9  83.6  0.79    288.9  -0.7   1.4         
   975 -0.84   2.1   367  14.4   3.9  81.9  0.50    289.7  -1.3   1.9         
   950  0.21   7.3   588  15.6   1.8  63.0     0    293.0  -1.2   7.1         
   925   1.2   9.3   813  13.8   3.0  69.1     0    293.4  -0.7   9.4         
   900   1.3  10.1  1043  12.4  0.71  63.0     0    294.3  -0.7  10.2         
   875   2.1  10.9  1279  11.4     0  50.5     0    295.6  -0.1  11.1         
   850   3.6  11.7  1521  10.6  -1.7  39.0     0    297.3   1.2  12.2         
   825   4.9  12.5  1769   9.7  -2.4  29.0     0    298.8   2.3  13.2         
   800   5.8  13.1  2023   8.3  -3.6  21.0     0    300.0   3.0  14.0         
   775   6.4  13.8  2284   6.7  -4.8  16.0     0    301.1   3.5  14.8         
   750   6.8  14.3  2552   6.2  -5.1  10.0     0    303.3   3.8  15.3         
   725   7.1  14.6  2830   6.2  -5.3     0     0    306.2   4.0  15.7         
   700   7.6  14.6  3116   5.9  -5.9     0  2E-2    309.0   4.5  15.8         
   650   9.7  16.1  3718   2.5  -4.5  20.0  2E-2    311.8   6.3  17.7         
   600  12.4  17.1  4358  -2.6  -4.1  40.0  2E-2    313.1   8.8  19.2         
   550  16.2  16.3  5043  -6.2  -4.2  35.0  2E-2    316.7  12.7  19.2         
   500  20.6  17.6  5781 -11.5  -3.3  46.0  2E-2    319.1  16.7  21.4         
   450  21.8  19.7  6580 -17.1  -1.4  52.0  2E-2    321.8  17.4  23.7         
   400  22.5  20.0  7451 -24.1  0.31  37.0  2E-2    323.7  18.0  24.0         
   350  26.0  21.4  8411 -29.7   1.2  15.0  2E-2    328.7  21.2  26.1         
   300  27.8  22.9  9493 -38.4   1.7  20.0  2E-2    331.3  22.7  28.0         
   250  26.6  24.6 10716 -49.6   2.7  56.0  2E-2    332.3  21.1  29.4         
   200  37.3  24.4 12141 -57.9   3.6  32.0  2E-2    341.1  31.6  31.4         
   150  35.6  18.7 13934 -61.9   1.1   8.7  2E-2    363.5  31.1  25.4         
   100  16.1   9.3 16413 -66.3 -0.10   4.9  2E-2    399.7  13.9  12.3         
    50   1.4  0.17 20643 -62.3 -3E-2   5.1  2E-2    496.8   1.3   0.4         
