 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 146, 207) to Lat:    37.74, Lon:  -122.43
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1015     0  1016     0     0  16.6  81.0   1.5   1.7  1015   6.6  12.2  10.5     0   611  1538  15.6   273  1000     0     0     0     0     0  24.2     0     0     0   281   7.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.6   2.4   133  17.9  -1.1  66.5  0.12    291.1   1.1   2.6         
   975   1.1   4.0   350  17.0  -3.3  65.5  0.25    292.3   0.3   4.2         
   950  0.33   6.1   571  15.3  -2.8  67.9  0.25    292.8  -0.9   6.0         
   925 -0.51   9.2   796  13.8     0  66.0     0    293.4  -2.4   8.9         
   900 -0.26  12.6  1027  12.9     0  57.2     0    294.8  -2.8  12.3         
   875   1.2  12.8  1263  11.9  -4.2  48.6     0    296.2  -1.4  12.8         
   850   3.0  12.2  1505  11.2  -6.6  37.0     0    297.9   0.5  12.6         
   825   4.3  12.0  1753  10.3  -6.7  29.0     0    299.5   1.8  12.6         
   800   5.1  12.4  2008   8.9  -6.3  22.1     0    300.7   2.5  13.1         
   775   5.4  12.8  2270   7.5  -7.1  17.2     0    301.8   2.7  13.7         
   750   5.7  13.4  2539   6.7  -6.4  12.1     0    303.9   2.9  14.3         
   725   6.3  14.1  2816   6.5  -5.7   2.0     0    306.6   3.3  15.1         
   700   6.8  14.7  3103   5.8  -3.9   1.0     0    308.9   3.7  15.8         
   650   8.7  16.2  3705   2.8  -3.6  14.0     0    312.1   5.3  17.6         
   600  11.8  18.3  4347  -1.4     0  29.0  2E-2    314.5   7.9  20.2         
   550  15.4  19.3  5034  -6.0   3.9  42.0  2E-2    317.0  11.2  22.0         
   500  19.6  21.5  5773 -11.2   3.2  47.0     0    319.5  14.9  25.0         
   450  23.1  23.7  6572 -17.4   4.8  52.0     0    321.4  17.9  27.8         
   400  26.2  24.4  7443 -23.7   5.0  36.0  2E-2    324.2  20.8  29.1         
   350  26.6  24.8  8404 -30.0   5.4  16.0  2E-2    328.3  21.1  29.6         
   300  27.2  24.5  9483 -38.8   2.8  29.1     0    330.8  21.7  29.4         
   250  27.5  24.6 10705 -49.5  0.46  55.1  2E-2    332.5  22.0  29.6         
   200  37.2  26.6 12134 -57.2  0.35  35.0  1E-2    342.3  31.1  33.5         
   150  34.1  20.2 13931 -62.1  0.81   8.6  2E-2    363.2  29.4  26.6         
   100  12.9   9.4 16410 -65.6  3E-2   4.9  2E-2    400.9  10.7  11.8         
    50   3.0   1.8 20640 -62.8   1.1   6.1  2E-2    495.6   2.6   2.3         
