 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 146, 208) to Lat:    37.85, Lon:  -122.46
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  24.1  1016     0     0  17.6  78.0   1.1   2.0  1013  54.6  72.2  30.8   1.9   603  1282  20.1   297   424     0     0     0     0     0  24.2     0     0     0   280   6.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.2   2.4   134  17.6  -1.1  70.5  0.62    290.7   0.7   2.6         
   975  0.77   3.8   350  16.4  -1.1  71.5  0.50    291.6  -0.0   3.9         
   950  1E-1   6.2   571  15.2  -2.8  66.9  0.25    292.6  -1.2   6.1         
   925 -0.26   9.8   796  13.9  -2.6  64.0     0    293.5  -2.2   9.6         
   900     0  12.8  1027  12.8  -3.0  57.2     0    294.7  -2.6  12.6         
   875   1.3  12.9  1263  11.8  -6.0  48.6     0    296.0  -1.3  12.9         
   850   3.0  12.3  1504  11.1  -6.6  38.0     0    297.8   0.5  12.7         
   825   4.4  12.2  1753  10.2  -6.7  30.0     0    299.4   1.9  12.9         
   800   5.1  12.5  2008   8.8  -6.3  23.1     0    300.6   2.5  13.3         
   775   5.5  13.0  2269   7.3  -7.1  18.2     0    301.7   2.8  13.8         
   750   5.9  13.5  2538   6.5  -6.4  12.1     0    303.6   3.0  14.4         
   725   6.4  14.2  2815   6.4  -5.7   1.0     0    306.4   3.4  15.2         
   700   6.8  14.8  3102   5.8  -3.9     0     0    308.9   3.6  15.9         
   650   8.8  16.3  3704   2.8  -3.6  15.0     0    312.1   5.4  17.8         
   600  11.9  18.3  4346  -1.5     0  33.0  2E-2    314.4   8.0  20.3         
   550  15.7  19.4  5032  -6.1   2.1  48.0  2E-2    316.8  11.5  22.2         
   500  20.0  21.7  5771 -11.3   3.2  52.0     0    319.3  15.2  25.2         
   450  23.5  23.8  6569 -17.4   4.8  53.0     0    321.4  18.3  28.0         
   400  26.4  24.5  7440 -23.8   5.0  36.0  2E-2    324.1  20.9  29.3         
   350  26.9  25.0  8402 -30.0   3.6  16.0  2E-2    328.3  21.3  29.9         
   300  27.5  24.7  9480 -38.8   2.8  28.1     0    330.8  22.0  29.8         
   250  27.8  25.0 10703 -49.5     0  54.1  2E-2    332.5  22.2  30.1         
   200  37.2  26.7 12131 -57.2  0.35  35.0  1E-2    342.3  31.0  33.7         
   150  34.0  20.0 13929 -61.9 -0.51   8.6  2E-2    363.4  29.3  26.5         
   100  12.8   9.3 16409 -65.6  3E-2   4.9  2E-2    400.9  10.6  11.7         
    50   3.0   1.8 20640 -62.7   1.1   6.1  2E-2    495.9   2.6   2.3         
