 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 147, 208) to Lat:    37.87, Lon:  -122.33
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1011  32.1  1016     0     0  17.1  79.0   1.2   1.7  1011  26.6  40.2  19.8     0   603  1538  18.1   273  1000     0     0     0     0     0  24.2     0     0     0   281   7.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.5   2.0   133  18.3     0  65.5     0    291.5   1.0   2.2         
   975  0.89   3.0   350  17.2  -1.1  64.5  0.25    292.5   0.3   3.1         
   950  1E-1   4.1   571  16.0  -1.9  61.9  0.25    293.4  -0.7   4.0         
   925 -0.63   7.5   797  14.5     0  60.0  0.25    294.2  -2.1   7.2         
   900 -0.26  11.6  1028  13.3     0  53.2  0.25    295.2  -2.6  11.3         
   875  0.78  13.0  1264  12.0  -2.4  45.6     0    296.3  -1.8  12.9         
   850   2.8  12.8  1506  11.2  -4.9  38.0     0    297.9   0.1  13.1         
   825   4.3  12.3  1755  10.2  -6.7  29.0     0    299.4   1.8  13.0         
   800   5.2  12.6  2009   8.8  -6.3  23.1     0    300.6   2.6  13.4         
   775   5.6  13.1  2271   7.3  -3.6  18.2     0    301.7   2.9  14.0         
   750   6.0  13.5  2540   6.5  -2.9  12.1     0    303.6   3.1  14.5         
   725   6.4  14.2  2817   6.4  -2.2   1.0     0    306.4   3.4  15.2         
   700   6.8  15.0  3104   5.8     0     0     0    308.9   3.6  16.0         
   650   8.8  16.2  3706   2.8     0  13.0     0    312.1   5.4  17.6         
   600  11.9  18.1  4348  -1.5     0  33.0  2E-2    314.4   8.0  20.1         
   550  15.6  19.1  5034  -6.0   2.1  45.0  2E-2    317.0  11.5  21.9         
   500  19.7  21.4  5773 -11.3   3.2  50.0     0    319.3  15.0  24.9         
   450  23.4  23.5  6572 -17.4     0  53.0     0    321.4  18.2  27.7         
   400  26.2  24.1  7443 -23.7   1.4  36.0  2E-2    324.2  20.9  28.9         
   350  26.7  24.7  8405 -29.9   1.9  16.0  2E-2    328.4  21.3  29.5         
   300  27.0  24.4  9483 -38.8   1.9  28.1     0    330.8  21.6  29.3         
   250  27.3  24.6 10706 -49.5     0  55.1  2E-2    332.5  21.9  29.6         
   200  37.1  26.3 12134 -57.2 -0.97  34.0  1E-2    342.3  31.0  33.2         
   150  34.1  19.8 13932 -62.1 -0.51   8.6  2E-2    363.2  29.4  26.2         
   100  12.8   9.3 16411 -65.8  3E-2   4.9  2E-2    400.7  10.6  11.6         
    50   3.0   1.6 20640 -62.7   1.1   6.1  2E-2    495.9   2.6   2.2         
