 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 147, 209) to Lat:    37.97, Lon:  -122.35
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  24.1  1016     0     0  16.8  81.0  0.85   2.0  1013  26.6  60.2  23.0     0   603  1538  18.9   273  1000     0     0     0     0     0  24.2     0     0     0   281   7.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  0.97   2.1   133  17.8   1.5  68.5  0.38    291.0   0.5   2.3         
   975  0.39   2.9   350  17.0   2.4  66.5  0.50    292.3  -0.2   2.9         
   950 -4E-2   3.9   571  15.7  -1.0  62.9  0.50    293.1  -0.8   3.9         
   925 -0.13   7.7   797  14.4  -2.6  58.0  0.25    294.0  -1.7   7.5         
   900  0.36  11.8  1027  13.2  -3.0  54.2  0.25    295.1  -2.0  11.7         
   875   1.0  13.2  1264  12.0  -2.4  46.6     0    296.3  -1.6  13.1         
   850   2.9  12.7  1505  11.1  -4.9  37.0     0    297.8   0.3  13.0         
   825   4.4  12.3  1754  10.0  -4.9  28.0     0    299.2   1.9  13.0         
   800   5.3  12.6  2009   8.7  -2.7  22.1     0    300.4   2.7  13.4         
   775   5.8  13.1  2270   7.2  -3.6  18.2     0    301.6   3.0  14.0         
   750   6.1  13.5  2539   6.3  -2.9  13.1     0    303.5   3.3  14.5         
   725   6.5  14.2  2816   6.2  -2.2   1.0     0    306.3   3.5  15.2         
   700   6.8  15.0  3102   5.7     0     0     0    308.8   3.6  16.0         
   650   8.8  16.2  3705   2.8  -3.6  15.0     0    312.1   5.4  17.6         
   600  12.0  18.3  4346  -1.6  -1.9  36.0  2E-2    314.2   8.1  20.3         
   550  15.9  19.3  5033  -6.1     0  51.0  2E-2    316.8  11.7  22.1         
   500  20.2  21.7  5771 -11.4     0  55.0     0    319.2  15.5  25.3         
   450  23.6  23.7  6569 -17.4     0  52.0     0    321.4  18.4  27.9         
   400  26.4  24.2  7440 -23.8   1.4  36.0  2E-2    324.1  21.0  29.0         
   350  26.9  24.9  8402 -30.0     0  16.0  2E-2    328.3  21.3  29.8         
   300  27.5  24.7  9481 -38.8   1.9  28.1     0    330.8  22.0  29.7         
   250  27.7  25.0 10703 -49.5  -1.3  54.1  2E-2    332.5  22.1  30.0         
   200  37.2  26.6 12131 -57.2  0.35  34.0  1E-2    342.3  31.1  33.5         
   150  34.0  19.7 13929 -61.9 -0.51   8.6  2E-2    363.4  29.3  26.1         
   100  12.6   9.0 16409 -65.8  3E-2   4.9  2E-2    400.7  10.6  11.4         
    50   3.0   1.8 20639 -62.7   1.1   6.1  2E-2    495.9   2.6   2.3         
