 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 147, 210) to Lat:    38.08, Lon:  -122.38
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1010  40.1  1016     0     0  19.8  68.0  0.48   2.5  1010  90.6   132  49.5   1.9   603  1538  24.6   295   568     0     0     0     0     0  24.2     0     0     0   279   5.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  0.47   2.4   133  18.6     0  67.5   1.1    291.7  -0.0   2.4         
   975  0.27   2.9   350  16.9   2.4  69.5  0.75    292.1  -0.3   2.9         
   950  0.33   3.8   571  15.5  0.76  63.9  0.50    292.9  -0.4   3.8         
   925  0.62   7.7   796  14.3  -3.4  59.0  0.25    293.9  -0.9   7.7         
   900  0.74  11.8  1027  13.0  -4.7  54.2  0.25    294.9  -1.6  11.7         
   875   1.2  13.0  1263  11.8  -6.0  47.6     0    296.0  -1.5  13.0         
   850   2.8  12.6  1505  10.8  -4.9  41.0     0    297.5   0.2  12.9         
   825   4.3  12.2  1753  10.0  -4.9  30.0     0    299.2   1.8  12.8         
   800   5.3  12.5  2008   8.7  -6.3  23.1     0    300.4   2.7  13.3         
   775   5.8  13.0  2269   7.1  -3.6  17.2     0    301.4   3.0  13.9         
   750   6.1  13.5  2538   6.2  -2.9  14.1     0    303.3   3.3  14.5         
   725   6.5  14.2  2815   6.1  -2.2   1.0     0    306.2   3.5  15.2         
   700   6.9  15.1  3101   5.6  -3.9     0     0    308.7   3.7  16.2         
   650   9.0  16.5  3703   2.6  -3.6  16.0     0    312.0   5.5  17.9         
   600  12.1  18.4  4345  -1.8  -1.9  39.0  2E-2    314.1   8.2  20.4         
   550  16.1  19.5  5031  -6.2  -1.4  56.0  2E-2    316.7  11.9  22.4         
   500  20.6  21.8  5769 -11.5     0  59.0     0    319.0  15.8  25.5         
   450  23.9  23.8  6567 -17.4     0  52.0     0    321.4  18.6  28.1         
   400  26.5  24.4  7438 -23.8   1.4  36.0  2E-2    324.1  21.1  29.2         
   350  27.1  25.2  8399 -30.0     0  15.0  2E-2    328.3  21.5  30.1         
   300  27.9  25.1  9478 -38.8     0  27.1     0    330.8  22.3  30.2         
   250  28.2  25.4 10700 -49.5     0  53.1  2E-2    332.5  22.6  30.5         
   200  37.3  26.7 12128 -57.2  0.35  34.0  1E-2    342.3  31.2  33.7         
   150  33.7  19.5 13926 -61.8  0.81   8.6  2E-2    363.6  29.1  25.9         
   100  12.4   8.8 16408 -65.8  3E-2   4.9  2E-2    400.7  10.4  11.1         
    50   3.0   1.8 20639 -62.5   1.1   6.1  2E-2    496.1   2.6   2.3         
