 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 148, 207) to Lat:    37.79, Lon:  -122.17
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   999   128  1015     0     0  23.0  45.0   1.4   2.1   999  38.6   188  57.3   1.1   611  1794  28.9   296   840     0     0     0     0     0  24.2     0     0     0   279   6.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.1   2.2   131  21.9  -5.5  47.5  0.25    295.1   0.6   2.4         
   975   1.1   2.8   349  19.5  -9.9  52.5   1.8    294.8   0.6   2.9         
   950  0.71   3.2   572  17.2 -11.5  58.9   1.8    294.7   0.1   3.3         
   925  0.12   4.1   799  15.2  -7.8  63.0   1.5    294.8  -0.7   4.0         
   900 -0.64   7.6  1030  13.8  -4.7  54.2   1.2    295.7  -2.1   7.3         
   875 -1E-1  11.7  1267  12.2  -6.0  46.6  0.50    296.4  -2.4  11.4         
   850   1.9  13.1  1509  11.2 -10.1  40.0  0.12    297.9  -0.8  13.2         
   825   4.1  12.8  1757  10.2 -10.2  30.0     0    299.4   1.4  13.4         
   800   5.2  12.6  2012   8.8  -9.8  25.1     0    300.6   2.6  13.4         
   775   5.6  13.1  2273   7.3  -7.1  16.2     0    301.7   2.9  13.9         
   750   6.0  13.7  2542   6.3  -2.9  12.1     0    303.5   3.1  14.6         
   725   6.5  14.2  2819   6.4     0   2.0     0    306.4   3.6  15.2         
   700   6.8  14.8  3106   5.8   3.1     0     0    308.9   3.7  15.9         
   650   8.6  16.1  3709   3.0   3.5   9.0     0    312.4   5.2  17.5         
   600  11.6  17.9  4351  -1.3   1.6  28.0  2E-2    314.7   7.8  19.8         
   550  15.2  18.9  5038  -5.7   2.1  37.0  2E-2    317.3  11.2  21.5         
   500  19.2  20.9  5777 -11.0   3.2  41.0     0    319.6  14.7  24.3         
   450  22.9  23.0  6576 -17.2     0  51.0     0    321.6  17.8  27.1         
   400  26.0  23.6  7448 -23.7   1.4  37.0  2E-2    324.2  20.8  28.3         
   350  26.2  24.0  8410 -29.9   1.9  16.0  2E-2    328.4  20.9  28.8         
   300  26.3  23.6  9489 -38.6     0  29.1     0    330.9  21.1  28.4         
   250  26.6  23.7 10711 -49.4     0  56.1  2E-2    332.6  21.3  28.5         
   200  37.1  25.7 12140 -57.0 -0.97  34.0  1E-2    342.5  31.2  32.6         
   150  34.3  19.7 13937 -62.2 -0.51   9.6  2E-2    363.0  29.7  26.1         
   100  12.6   9.0 16414 -66.0  3E-2   4.9  2E-2    400.2  10.6  11.4         
    50   3.0   1.5 20641 -62.8   1.1   6.1  2E-2    495.6   2.7   2.1         
