 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 148, 208) to Lat:    37.89, Lon:  -122.19
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1001   120  1015     0     0  22.5  49.0  0.85   1.7  1001  78.6   152  57.3   1.9   611  1794  28.1   298   440     0     0     0     0     0  24.2     0     0     0   279   5.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  0.60   1.6   130  21.4  -2.0  51.5  0.19    294.6   0.3   1.7         
   975  0.52   2.3   349  19.1  -8.6  56.5   1.5    294.4   0.1   2.3         
   950  0.21   2.8   571  17.0 -10.7  62.9   1.2    294.4  -0.4   2.8         
   925 -0.38   4.1   798  15.0  -9.6  64.0   1.2    294.7  -1.2   3.9         
   900 -0.39   8.1  1029  13.5  -4.7  58.2   1.0    295.5  -2.0   7.8         
   875  0.40  12.4  1266  12.2  -2.4  47.6  0.50    296.4  -2.1  12.2         
   850   2.4  13.3  1508  11.1  -4.9  40.0  0.12    297.8  -0.3  13.5         
   825   4.4  12.8  1756  10.0  -4.9  30.0     0    299.2   1.8  13.5         
   800   5.4  12.7  2011   8.8  -2.7  25.1     0    300.6   2.8  13.6         
   775   5.9  13.1  2272   7.3     0  17.2     0    301.7   3.2  14.0         
   750   6.1  13.7  2541   6.3     0  13.1     0    303.5   3.3  14.6         
   725   6.5  14.2  2818   6.4     0   1.0     0    306.4   3.5  15.2         
   700   6.8  14.8  3105   5.8   3.1     0     0    308.9   3.7  15.9         
   650   8.6  16.1  3708   2.9   3.5  11.0     0    312.2   5.2  17.5         
   600  11.8  17.9  4350  -1.4     0  32.0  2E-2    314.5   8.0  19.9         
   550  15.5  18.9  5037  -5.9     0  42.0  2E-2    317.1  11.4  21.6         
   500  19.6  21.0  5775 -11.2  -3.9  47.0     0    319.5  15.0  24.5         
   450  23.3  23.2  6574 -17.2  -2.3  53.0     0    321.6  18.2  27.3         
   400  26.1  23.7  7445 -23.7  -2.1  36.0  2E-2    324.2  20.9  28.5         
   350  26.5  24.3  8407 -29.9  -1.6  16.0  2E-2    328.4  21.1  29.1         
   300  26.7  24.0  9486 -38.6  -1.6  28.1     0    330.9  21.4  28.8         
   250  27.0  24.2 10708 -49.5  -1.3  56.1  2E-2    332.5  21.6  29.1         
   200  37.1  26.0 12137 -57.2 -0.97  34.0  1E-2    342.3  31.1  32.8         
   150  34.2  19.5 13934 -62.2  0.81   8.6  2E-2    363.0  29.6  26.0         
   100  12.5   9.0 16412 -65.9  3E-2   4.9  2E-2    400.4  10.5  11.3         
    50   3.0   1.5 20640 -62.7   1.1   6.1  2E-2    495.9   2.7   2.1         
