 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 148, 209) to Lat:    37.99, Lon:  -122.22
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1006  72.1  1015     0     0  22.7  50.0  0.48   1.6  1006  74.6   184  52.6  0.94   611  2050  28.9   296   392     0     0     0     0     0  24.2     0     0     0   279   5.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  0.22   1.6   131  20.9  -1.1  54.5   1.1    294.1  -0.1   1.6         
   975  0.14   2.1   349  18.6  -6.4  60.5   1.5    293.9  -0.3   2.1         
   950 -0.17   2.4   571  16.5  -8.9  65.9   1.2    293.9  -0.6   2.4         
   925 -0.26   4.3   798  14.7  -7.8  65.0   1.2    294.3  -1.1   4.2         
   900  0.36   9.5  1029  13.4  -3.0  57.2   1.0    295.3  -1.5   9.3         
   875   1.0  12.9  1265  12.2   1.1  46.6  0.25    296.4  -1.6  12.9         
   850   2.8  13.1  1507  11.1  -1.3  39.0  0.12    297.8   0.1  13.4         
   825   4.6  12.6  1755  10.0  -1.4  30.0     0    299.2   2.0  13.3         
   800   5.6  12.6  2010   8.7  -2.7  23.1     0    300.4   2.9  13.5         
   775   5.9  13.0  2271   7.2     0  17.2     0    301.6   3.2  13.9         
   750   6.2  13.7  2540   6.3     0  13.1     0    303.5   3.4  14.6         
   725   6.6  14.2  2817   6.4     0   1.0     0    306.4   3.7  15.3         
   700   6.8  14.8  3104   5.8     0     0     0    308.9   3.7  15.9         
   650   8.6  16.1  3706   2.9     0  13.0     0    312.2   5.2  17.5         
   600  11.9  18.0  4348  -1.5  -1.9  35.0  2E-2    314.4   8.1  20.0         
   550  15.6  19.0  5035  -6.0  -1.4  48.0  2E-2    317.0  11.5  21.8         
   500  20.0  21.3  5773 -11.3  -3.9  53.0     0    319.3  15.3  24.8         
   450  23.5  23.3  6572 -17.4  -2.3  53.0     0    321.4  18.4  27.5         
   400  26.2  24.0  7443 -23.8  -3.8  36.0  2E-2    324.1  20.9  28.7         
   350  26.7  24.7  8404 -30.0  -3.4  16.0  2E-2    328.3  21.3  29.5         
   300  27.2  24.4  9483 -38.8  -1.6  28.1     0    330.8  21.8  29.3         
   250  27.3  24.6 10706 -49.5  -1.3  55.1  2E-2    332.5  21.9  29.6         
   200  37.2  26.1 12134 -57.2  0.35  34.0  1E-2    342.3  31.2  33.0         
   150  34.1  19.4 13932 -62.1  0.81   8.6  2E-2    363.2  29.5  25.8         
   100  12.5   8.9 16411 -65.9  3E-2   4.9  2E-2    400.4  10.5  11.2         
    50   3.0   1.5 20640 -62.7   1.1   6.1  2E-2    495.9   2.7   2.1         
