 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 142, 209) to Lat:    37.86, Lon:  -123.02
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  15.0  86.1   1.9  -3.3  1019  21.8     0  15.9     0   518   542  14.9   273  1000     0     0     0     0     0  24.2     0  68.0     0   280   6.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.6  -4.8   161  13.3 -10.8  89.6  1E-1    286.5   3.5  -4.1         
   975   2.6  -5.8   375  11.6  -9.7  87.5     0    286.8   3.7  -5.1         
   950   1.6  -4.7   592   9.4  -8.8  86.1     0    286.8   2.5  -4.3         
   925   1.4  -5.6   813   8.2  -5.8  78.5     0    287.7   2.6  -5.2         
   900   1.9  -6.4  1038   7.1  -5.2  68.0     0    288.8   3.2  -5.9         
   875   2.2  -6.4  1269   5.9  -3.9  57.5     0    289.9   3.5  -5.8         
   850   2.8  -6.1  1506   5.0  -4.5  51.0     0    291.4   4.0  -5.4         
   825   2.5  -5.9  1749   3.7  -3.4  46.0     0    292.5   3.6  -5.3         
   800   2.0  -6.0  1998   2.8  -4.1  37.0     0    294.1   3.2  -5.4         
   775   1.5  -6.6  2255   2.0  -2.4  26.0  3E-2    296.0   2.8  -6.2         
   750   1.9  -8.0  2518  0.90 -0.99  19.0     0    297.6   3.5  -7.4         
   725   3.2  -9.5  2790 -0.21 -0.49  16.0  2E-2    299.2   5.1  -8.6         
   700   4.6 -10.6  3070  -1.1     0  14.3     0    301.3   6.7  -9.5         
   650   5.9 -12.9  3656  -4.2   2.0  30.1     0    304.2   8.5 -11.4         
   600   5.6 -18.1  4283  -7.1   3.7  13.0  2E-2    307.9   9.2 -16.6         
   550   7.3 -25.0  4957  -9.9   4.9   1.0  2E-2    312.4  12.2 -23.0         
   500   9.4 -27.8  5685 -15.0   5.8   7.0  2E-2    314.8  14.9 -25.3         
   450   7.2 -29.8  6472 -20.2   5.4  12.0  2E-2    317.8  13.2 -27.6         
   400   4.8 -37.8  7334 -26.6   6.9  23.0  2E-2    320.4  12.5 -36.0         
   350   8.3 -46.5  8282 -34.3   5.6  25.0  2E-2    322.5  17.7 -43.8         
   300  10.3 -46.4  9341 -42.3   3.5  26.2  2E-2    325.7  19.5 -43.3         
   250  11.9 -40.0 10559 -45.6   2.2  12.8  2E-2    338.3  19.9 -36.7         
   200  22.2 -28.1 12040 -47.9 -0.38   4.3  2E-2    356.9  27.5 -23.0         
   150  15.7 -25.1 13891 -58.4  -1.1   2.7  2E-2    369.4  20.5 -21.4         
   100  11.7  -9.6 16376 -68.3  -2.3   5.6  2E-2    395.9  13.5  -7.0         
    50   4.0  -1.9 20550 -65.8 -0.80   7.1  2E-2    488.5   4.3  -1.0         
