 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 142, 211) to Lat:    38.07, Lon:  -123.07
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.5  86.1   2.2  -2.8  1019  21.8   4.2  15.9     0   510   542  14.6   273  1000     0     0     0     0     0  24.2     0  68.0     0   280   6.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.7  -4.0   161  13.1 -11.7  91.6  0.15    286.2   3.5  -3.4         
   975   2.3  -5.2   375  11.3 -10.6  88.5     0    286.6   3.3  -4.6         
   950   1.3  -4.2   591   9.3  -7.5  91.1     0    286.6   2.2  -3.8         
   925  0.94  -5.4   812   8.2  -4.9  80.5     0    287.7   2.0  -5.1         
   900   1.4  -6.2  1038   6.9  -4.3  72.0     0    288.6   2.7  -5.7         
   875   1.5  -6.3  1269   5.8  -3.0  57.5     0    289.8   2.7  -5.8         
   850   1.9  -6.1  1505   5.0  -4.5  48.0     0    291.4   3.1  -5.5         
   825   2.1  -6.0  1748   3.8  -4.2  42.0     0    292.7   3.3  -5.5         
   800   2.0  -6.0  1998   3.0  -5.0  34.0     0    294.4   3.2  -5.4         
   775   1.6  -6.6  2254   2.0  -2.4  27.0  3E-2    296.0   2.9  -6.2         
   750   1.8  -7.9  2518  0.78  -2.3  20.0     0    297.4   3.4  -7.3         
   725   2.7  -9.0  2789 -0.33 -0.49  14.0  2E-2    299.1   4.5  -8.2         
   700   3.9 -10.3  3068  -1.3     0  13.3     0    301.1   5.9  -9.3         
   650   5.7 -12.9  3655  -4.2   2.0  26.1     0    304.2   8.2 -11.4         
   600   5.4 -18.0  4282  -7.0   3.7  14.0  2E-2    308.1   9.0 -16.5         
   550   6.9 -24.6  4956  -9.9   4.9   1.0  2E-2    312.4  11.8 -22.7         
   500   9.0 -27.5  5683 -15.1   5.8   7.0  2E-2    314.6  14.5 -25.0         
   450   7.0 -29.4  6471 -20.4   5.4  13.0  2E-2    317.6  12.9 -27.3         
   400   4.9 -37.3  7332 -26.6   6.9  24.0  2E-2    320.4  12.5 -35.5         
   350   8.7 -46.3  8280 -34.3   5.6  25.0  2E-2    322.5  18.0 -43.5         
   300  10.5 -46.4  9339 -42.4   3.5  28.2  2E-2    325.6  19.8 -43.2         
   250  12.0 -40.2 10556 -45.8  0.88  12.8  2E-2    338.0  20.0 -36.9         
   200  22.0 -28.0 12036 -47.8 -0.38   4.3  2E-2    357.1  27.3 -22.9         
   150  16.6 -25.3 13887 -58.4  -1.1   2.7  2E-2    369.4  21.4 -21.3         
   100  12.0  -9.6 16374 -68.1  -2.3   5.6  2E-2    396.1  13.7  -6.9         
    50   3.8  -1.9 20549 -65.7 -0.80   7.1  2E-2    488.8   4.1  -1.0         
