 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 142, 214) to Lat:    38.39, Lon:  -123.15
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1018   8.1  1019     0     0  14.1  85.1   1.7  -1.8  1018  29.8  12.2  17.5     0   510   414  14.9   273  1000     0     0     0     0     0  24.2     0  36.0     0   281   7.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.6  -1.9   159  12.7 -11.7  92.6  0.21    285.8   1.9  -1.5         
   975   1.8  -3.0   373  11.3 -10.6  94.5  1E-1    286.6   2.4  -2.6         
   950  0.84  -3.9   589   9.9  -5.3  91.1     0    287.3   1.6  -3.7         
   925  1E-1  -4.1   811   8.6  -4.0  85.5     0    288.1   0.9  -4.0         
   900  0.43  -4.9  1037   7.2  -2.5  78.0     0    289.0   1.4  -4.7         
   875  0.74  -5.6  1268   6.0  -3.0  62.5     0    290.1   1.9  -5.4         
   850  0.53  -5.4  1505   4.8  -4.5  53.0     0    291.2   1.6  -5.2         
   825   1.1  -5.9  1747   3.6  -4.2  44.0     0    292.4   2.3  -5.6         
   800   1.5  -6.3  1996   2.7  -5.0  34.0     0    294.0   2.8  -5.9         
   775   1.6  -6.5  2253   1.9  -3.7  25.0  3E-2    295.8   2.9  -6.0         
   750   1.3  -7.4  2516  0.78  -2.3  19.0     0    297.4   2.8  -7.0         
   725   2.1  -8.5  2787 -0.46  -1.4  14.0  2E-2    299.0   3.8  -7.9         
   700   3.1  -9.4  3067  -1.6 -0.87  11.3     0    300.8   5.0  -8.5         
   650   4.8 -12.6  3653  -4.3   2.0  24.1     0    304.1   7.3 -11.4         
   600   5.1 -17.8  4280  -7.0   3.7  15.0  2E-2    308.1   8.6 -16.3         
   550   6.5 -24.0  4954  -9.9   4.9   1.0  2E-2    312.4  11.3 -22.2         
   500   8.5 -27.0  5682 -15.1   4.5   8.0  2E-2    314.6  13.9 -24.6         
   450   7.0 -28.8  6469 -20.4   5.4  13.0  2E-2    317.6  12.7 -26.7         
   400   5.3 -36.3  7330 -26.7   5.6  25.0  2E-2    320.3  12.7 -34.5         
   350   9.3 -45.6  8277 -34.3   6.5  26.0  2E-2    322.5  18.5 -42.7         
   300  11.3 -46.2  9337 -42.4   3.5  30.2  2E-2    325.6  20.5 -42.9         
   250  12.2 -40.3 10551 -46.3  0.88  14.8  2E-2    337.2  20.2 -37.0         
   200  21.5 -27.8 12030 -47.8  -1.7   4.3  2E-2    357.1  26.8 -22.7         
   150  17.7 -25.3 13882 -58.4  -1.1   2.7  2E-2    369.4  22.5 -21.1         
   100  12.6 -10.0 16369 -67.9  -1.2   5.6  2E-2    396.6  14.4  -7.2         
    50   3.8  -1.9 20547 -65.5 -0.80   7.1  2E-2    489.1   4.1  -1.0         
