 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 143, 211) to Lat:    38.10, Lon:  -122.94
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  48.1  1019     0     0  15.7  78.1   2.3  -2.2  1013  85.8   108  50.3  0.94   518   798  18.6   288   424     0     0     0     0     0  24.2     0  68.0     0   280   6.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.5  -2.5   161  13.8 -15.2  85.6   1.1    287.0   2.9  -2.0         
   975   2.3  -3.3   374  11.7 -14.1  94.5  0.81    286.9   3.0  -2.7         
   950   1.6  -3.8   591   9.9 -11.0  87.1     0    287.3   2.3  -3.4         
   925   1.1  -4.3   812   8.3  -7.5  83.5     0    287.8   1.9  -4.0         
   900   1.3  -5.8  1038   7.1  -5.2  73.0     0    288.8   2.5  -5.4         
   875   1.4  -6.1  1269   5.9  -3.9  64.5     0    289.9   2.6  -5.7         
   850   1.7  -6.1  1506   5.0  -4.5  51.0     0    291.4   2.9  -5.6         
   825   2.1  -5.9  1748   3.6  -4.2  45.0     0    292.4   3.3  -5.4         
   800   2.3  -6.0  1998   2.4  -2.8  38.0     0    293.7   3.5  -5.4         
   775   1.9  -6.4  2253   1.6  -1.5  30.0  3E-2    295.5   3.1  -5.9         
   750   1.5  -7.5  2517  0.78     0  20.0     0    297.4   3.0  -7.0         
   725   2.3  -8.7  2788 -0.46 -0.49  15.0  2E-2    299.0   4.0  -8.1         
   700   3.6  -9.8  3068  -1.6     0  11.3     0    300.8   5.5  -8.8         
   650   5.7 -12.6  3654  -4.5   2.0  25.1     0    303.9   8.2 -11.2         
   600   5.4 -17.4  4280  -7.2   3.7  19.0  2E-2    307.8   8.9 -15.9         
   550   6.6 -24.0  4954 -10.1   4.9   2.0  2E-2    312.1  11.4 -22.2         
   500   8.6 -27.7  5681 -15.1   4.5   7.0  2E-2    314.6  14.1 -25.4         
   450   6.8 -29.5  6468 -20.5   5.4  11.0  2E-2    317.5  12.7 -27.5         
   400   4.7 -37.3  7328 -26.6   6.9  22.0  2E-2    320.4  12.2 -35.6         
   350   8.4 -46.4  8276 -34.3   6.5  26.0  2E-2    322.5  17.7 -43.7         
   300  10.3 -46.6  9335 -42.4   4.9  27.2  2E-2    325.6  19.6 -43.5         
   250  11.9 -40.2 10552 -45.8  0.88  12.8  2E-2    338.0  19.9 -36.9         
   200  22.4 -28.1 12033 -47.8 -0.38   4.3  2E-2    357.1  27.6 -23.0         
   150  16.1 -25.4 13886 -58.2  -1.1   2.7  2E-2    369.8  20.9 -21.6         
   100  12.0  -9.7 16373 -68.0  -2.3   5.6  2E-2    396.3  13.7  -7.1         
    50   3.8  -1.9 20549 -65.7 -0.80   7.1  2E-2    488.8   4.1  -1.0         
