 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 143, 214) to Lat:    38.41, Lon:  -123.02
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1009  80.1  1019     0     0  15.2  81.1   1.3  -1.2  1009   118  88.2  51.8   1.9   510   798  18.6   288   464     0     0     0     0     0  24.2     0  68.0     0   280   6.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  0.96 -0.39   158  13.9 -13.0  86.6   1.0    287.1   1.0  -0.2         
   975   1.1  -1.3   371  11.8 -11.9  96.5  0.62    287.1   1.3  -1.0         
   950  0.97  -3.4   588  10.3  -6.2  92.1     0    287.6   1.7  -3.2         
   925 -1E-1  -3.4   810   8.6  -4.0  91.5     0    288.1   0.6  -3.3         
   900  1E-1  -4.8  1036   7.5  -2.5  81.0     0    289.2   1.0  -4.7         
   875  0.37  -5.5  1268   6.2  -2.2  70.5     0    290.2   1.5  -5.3         
   850  0.41  -5.7  1504   4.7  -3.1  59.0     0    291.1   1.6  -5.5         
   825  0.85  -5.8  1747   3.3  -4.2  49.0     0    292.1   2.0  -5.5         
   800   1.7  -6.0  1996   2.3  -6.3  41.0     0    293.6   2.8  -5.5         
   775   1.7  -6.3  2252   1.6  -4.6  32.0  3E-2    295.5   3.0  -5.8         
   750   1.2  -7.3  2515  0.53  -3.6  21.0     0    297.2   2.6  -6.9         
   725   1.9  -8.2  2786 -0.46  -1.4  14.0  2E-2    299.0   3.6  -7.6         
   700   3.0  -9.3  3066  -1.8 -0.87   9.3     0    300.5   4.8  -8.5         
   650   4.9 -12.4  3651  -4.3   2.0  21.1     0    304.1   7.4 -11.1         
   600   5.2 -17.3  4278  -7.1   5.0  20.0  2E-2    307.9   8.6 -15.8         
   550   6.3 -23.5  4952 -10.0   7.1   2.0  2E-2    312.3  10.9 -21.7         
   500   8.1 -27.1  5679 -15.1   6.7   7.0  2E-2    314.6  13.5 -24.9         
   450   6.7 -29.0  6466 -20.5   5.4  12.0  2E-2    317.5  12.5 -27.0         
   400   4.9 -36.3  7327 -26.7   5.6  23.0  2E-2    320.3  12.3 -34.5         
   350   8.9 -45.8  8274 -34.3   4.3  25.0  2E-2    322.5  18.1 -43.0         
   300  10.9 -46.6  9333 -42.4   1.3  30.2  2E-2    325.6  20.2 -43.4         
   250  12.0 -40.5 10549 -46.3  0.88  13.8  2E-2    337.2  20.1 -37.1         
   200  21.9 -28.0 12027 -47.8 -0.38   4.3  2E-2    357.1  27.1 -22.9         
   150  17.3 -25.5 13880 -58.2  -1.1   2.7  2E-2    369.8  22.2 -21.4         
   100  12.5  -9.7 16369 -67.9  -2.3   5.6  2E-2    396.6  14.2  -7.0         
    50   3.8  -1.9 20548 -65.5 -0.80   7.1  2E-2    489.1   4.1  -1.0         
