 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 144, 209) to Lat:    37.91, Lon:  -122.75
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  48.1  1019     0     0  15.4  82.1   1.9  -2.0  1013  73.8  56.2  40.9   1.9   518   670  17.4   290   504     0     0     0     0     0  24.2     0  68.0     0   279   6.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.0  -2.1   161  13.8 -10.8  87.6  0.84    287.0   2.3  -1.7         
   975   2.1  -2.9   374  11.7 -10.6  93.5  0.50    286.9   2.6  -2.4         
   950   1.7  -3.9   591   9.8  -7.5  87.1     0    287.1   2.5  -3.5         
   925   1.6  -4.1   812   8.3  -4.9  85.5     0    287.8   2.4  -3.7         
   900   1.9  -6.0  1038   7.1  -2.5  77.0     0    288.8   3.1  -5.5         
   875   2.2  -6.3  1269   5.9  -2.2  65.5     0    289.9   3.5  -5.7         
   850   2.7  -6.2  1506   5.0  -3.1  53.0     0    291.4   3.9  -5.5         
   825   2.6  -5.8  1748   3.7  -3.4  46.0     0    292.5   3.7  -5.1         
   800   2.3  -5.7  1998   2.5  -4.1  39.0     0    293.9   3.4  -5.1         
   775   1.7  -6.4  2253   1.6  -3.7  32.0  3E-2    295.5   3.0  -5.9         
   750   1.5  -7.8  2517  0.78 -0.99  21.0     0    297.4   3.1  -7.3         
   725   2.7  -9.0  2788 -0.46 -0.49  15.0  2E-2    299.0   4.5  -8.2         
   700   4.0 -10.3  3068  -1.4     0  12.3     0    300.9   6.0  -9.2         
   650   6.3 -12.4  3654  -4.5   2.0  26.1     0    303.9   8.7 -10.8         
   600   5.7 -16.9  4280  -7.5   5.0  23.0  2E-2    307.5   9.0 -15.4         
   550   6.6 -23.5  4953 -10.4   6.2   3.0  2E-2    311.8  11.3 -21.7         
   500   8.6 -28.0  5679 -15.1   6.7   5.0  2E-2    314.6  14.1 -25.6         
   450   6.8 -29.9  6466 -20.6   5.4  11.0  2E-2    317.3  12.8 -27.9         
   400   4.4 -37.6  7326 -26.7   5.6  19.0  2E-2    320.3  12.0 -35.9         
   350   7.8 -46.8  8275 -34.3   5.6  30.0  2E-2    322.5  17.1 -44.2         
   300   9.9 -46.5  9333 -42.3   2.7  24.2  2E-2    325.7  19.1 -43.5         
   250  12.0 -39.8 10552 -45.4  0.88  10.8  2E-2    338.5  19.9 -36.6         
   200  22.9 -28.6 12034 -47.7 -0.38   4.3  2E-2    357.3  28.2 -23.4         
   150  14.8 -25.4 13888 -57.9  -2.2   2.7  2E-2    370.3  19.7 -21.8         
   100  11.7  -9.7 16375 -68.1  -2.3   5.6  2E-2    396.1  13.5  -7.2         
    50   3.8  -2.0 20550 -65.8 -0.80   7.1  2E-2    488.5   4.2  -1.2         
