 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 142, 213) to Lat:    38.28, Lon:  -123.13
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1018     0  1019     0     0  13.8  91.2   3.9  -1.4  1018  22.8  19.5  18.0     0   573   456  14.8   273  1000     0     0     0     0     0  23.9  10.0     0     0   282   8.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   4.4  -2.7   158  12.8     0  89.5  0.11    286.0   4.9  -1.7         
   975   4.4  -3.0   371  11.9   3.9  83.4  0.12    287.1   4.9  -2.0         
   950   2.2  -1.8   588  11.1   9.8  76.1     0    288.5   2.6  -1.4         
   925 -0.16  -1.6   811  10.0  12.4  70.3     0    289.6   0.2  -1.6         
   900  -1.2  -2.2  1038   8.6  14.5  65.4     0    290.3  -0.7  -2.4         
   875  -1.6  -3.0  1270   7.0  15.6  58.8     0    291.0  -0.9  -3.3         
   850  -2.3  -3.3  1507   5.3  15.1  52.1     0    291.7  -1.5  -3.7         
   825  -2.3  -4.4  1750   3.7  13.6  43.0     0    292.5  -1.3  -4.7         
   800 -0.71  -4.7  1999   3.1  11.4  31.1     0    294.4   0.3  -4.8         
   775   1.6  -4.8  2256   2.9   9.9  19.2     0    297.0   2.6  -4.4         
   750   2.4  -5.7  2521   2.0  11.0  12.1     0    298.8   3.6  -5.0         
   725   2.6  -7.2  2793   1.2  10.5  10.1     0    300.7   4.1  -6.5         
   700   3.0  -9.0  3075  0.19  11.8  13.1     0    302.7   4.8  -8.2         
   650   2.7 -13.4  3665  -1.7  15.8   9.0  2E-2    307.0   5.4 -12.6         
   600   3.5 -18.3  4299  -4.1  16.0   1.0  2E-2    311.4   7.2 -17.2         
   550   4.9 -20.6  4978  -9.2  14.8  14.0  2E-2    313.1   9.0 -19.2         
   500   8.0 -22.7  5708 -13.7  13.4  13.0  2E-2    316.3  12.5 -20.6         
   450   7.6 -24.2  6498 -19.6  14.5  32.1  2E-2    318.7  12.4 -22.1         
   400   5.9 -31.9  7362 -25.8  15.0  29.1  2E-2    321.4  12.4 -30.0         
   350   9.0 -39.3  8313 -33.5  13.9  34.2  2E-2    323.6  16.9 -36.6         
   300  10.6 -39.6  9375 -42.1  10.4  30.6  2E-2    326.0  18.5 -36.5         
   250  12.1 -36.8 10588 -47.4   3.9  19.8  2E-2    335.6  19.4 -33.5         
   200  19.4 -26.9 12063 -47.6   1.6   3.4  2E-2    357.4  24.5 -22.3         
   150  21.6 -20.3 13910 -59.7   4.8   2.7  2E-2    367.3  25.3 -15.4         
   100  13.5  -6.9 16387 -68.7 -0.28   6.6  2E-2    395.1  14.7  -4.0         
    50   3.5  0.11 20550 -65.7 -0.11   7.1  2E-2    488.6   3.4   0.8         
