 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 142, 214) to Lat:    38.39, Lon:  -123.15
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017   8.1  1019     0     0  13.7  92.2   3.6 -0.82  1017  18.8  27.5  22.7     0   569   328  15.2   273  1000     0     0     0     0     0  24.2   2.0     0     0   282   9.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   4.3  -1.3   157  12.6  -2.8  90.5  0.24    285.7   4.5  -0.4         
   975   4.1  -2.0   370  11.9   3.1  85.4  0.12    287.1   4.4  -1.1         
   950   2.3  -1.7   588  11.2   9.0  78.1     0    288.6   2.7  -1.2         
   925 -3E-2  -1.4   810  10.2  12.4  72.3     0    289.7   0.3  -1.4         
   900  -1.3  -1.7  1037   8.7  14.5  68.4     0    290.5  -0.9  -2.0         
   875  -1.9  -2.7  1270   7.0  15.6  62.8     0    291.0  -1.3  -3.0         
   850  -2.3  -3.2  1507   5.4  16.9  54.1     0    291.8  -1.6  -3.6         
   825  -2.4  -4.1  1750   3.5  15.4  45.0     0    292.3  -1.5  -4.5         
   800  -1.2  -4.7  1999   3.0  11.4  34.1     0    294.3  -0.2  -4.9         
   775   1.3  -4.6  2256   2.8   9.9  22.2     0    296.8   2.3  -4.2         
   750   2.4  -5.4  2520   2.0   9.2  12.1     0    298.8   3.5  -4.8         
   725   2.6  -6.9  2793   1.0  10.5  11.1     0    300.6   4.0  -6.2         
   700   3.2  -8.7  3074  0.19  11.8  12.1     0    302.7   5.0  -7.9         
   650   2.6 -13.3  3665  -1.7  15.8   9.0  2E-2    307.0   5.2 -12.5         
   600   3.6 -18.1  4298  -4.1  16.0   1.0  2E-2    311.4   7.2 -16.9         
   550   5.0 -20.5  4977  -9.4  13.9  15.0  2E-2    313.0   9.1 -19.0         
   500   8.1 -22.7  5707 -13.7  12.6  13.0  2E-2    316.3  12.6 -20.5         
   450   7.7 -24.2  6497 -19.7  14.5  32.1  2E-2    318.5  12.5 -22.1         
   400   6.0 -31.8  7361 -25.8  15.9  30.1  2E-2    321.4  12.5 -29.8         
   350   9.3 -39.3  8312 -33.5  13.9  35.2  2E-2    323.6  17.2 -36.6         
   300  11.1 -39.7  9374 -42.1  10.4  31.6  2E-2    326.0  19.1 -36.5         
   250  12.4 -36.9 10586 -47.5   3.9  19.8  2E-2    335.5  19.8 -33.6         
   200  19.5 -26.9 12061 -47.6   1.6   3.4  2E-2    357.4  24.6 -22.3         
   150  22.0 -20.2 13908 -59.8   3.5   2.7  2E-2    367.1  25.7 -15.2         
   100  13.7  -6.8 16385 -68.5 -0.28   6.6  2E-2    395.3  14.8  -3.8         
    50   3.5  0.11 20549 -65.6 -0.11   7.1  2E-2    488.9   3.4   0.8         
