 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 143, 209) to Lat:    37.89, Lon:  -122.88
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.1  92.2   3.5  -2.1  1019  18.8   3.5  14.9     0   581   584  14.8   273  1000     0     0     0     0     0  24.2     0     0     0   281   8.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   4.3  -3.0   160  12.8   2.5  87.5     0    286.0   4.8  -2.0         
   975   4.0  -3.4   373  11.4   6.6  80.4     0    286.6   4.6  -2.5         
   950   2.3  -3.0   590  10.8  10.7  69.1     0    288.2   2.9  -2.4         
   925  0.59  -3.0   812   9.8  13.3  63.3     0    289.3   1.2  -2.8         
   900 -0.78  -3.5  1039   8.4  14.5  58.4     0    290.2  -0.0  -3.6         
   875  -1.6  -4.0  1271   7.0  13.8  51.8     0    291.0  -0.8  -4.3         
   850  -1.6  -4.2  1508   5.4  11.6  45.1     0    291.8  -0.8  -4.4         
   825 -0.51  -4.7  1751   4.2  10.1  37.0     0    293.0   0.5  -4.7         
   800  0.91  -5.0  2001   3.5   9.6  28.1     0    294.8   1.9  -4.7         
   775   1.7  -5.3  2258   2.8   9.9  19.2     0    296.8   2.8  -4.9         
   750   2.2  -6.5  2522   2.0  11.0  13.1     0    298.8   3.5  -6.0         
   725   2.6  -8.2  2795   1.2  10.5  11.1     0    300.7   4.3  -7.5         
   700   3.2 -10.0  3076  0.19  11.8  13.1     0    302.7   5.2  -9.1         
   650   3.2 -14.1  3667  -1.7  14.0  11.0  2E-2    307.0   6.0 -13.2         
   600   3.2 -19.2  4300  -4.1  16.0   1.0  2E-2    311.4   7.1 -18.1         
   550   4.7 -21.6  4980  -9.1  13.9  11.0  2E-2    313.3   9.1 -20.2         
   500   7.6 -23.2  5710 -13.7  13.4  11.0  2E-2    316.3  12.2 -21.2         
   450   7.2 -24.7  6501 -19.4  12.7  25.1  2E-2    318.8  12.1 -22.7         
   400   5.3 -32.3  7365 -25.8  13.3  30.1  2E-2    321.4  11.8 -30.5         
   350   7.6 -40.0  8316 -33.5  12.1  34.2  2E-2    323.6  15.6 -37.6         
   300   9.0 -39.6  9378 -41.9  10.4  28.6  2E-2    326.3  16.9 -36.9         
   250  10.7 -36.3 10592 -47.1   3.9  17.8  2E-2    336.0  17.9 -33.4         
   200  19.1 -26.8 12069 -47.5   1.6   3.4  2E-2    357.6  24.2 -22.3         
   150  19.7 -20.6 13916 -59.4   3.5   2.7  2E-2    367.7  23.5 -16.1         
   100  12.8  -6.8 16394 -69.0 -0.28   7.6  2E-2    394.4  13.9  -4.0         
    50   3.4  0.11 20553 -65.8 -0.11   7.1  2E-2    488.4   3.3   0.8         
