 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 143, 213) to Lat:    38.30, Lon:  -122.99
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1014  32.1  1019     0     0  16.4  79.2   3.8 -0.69  1014   107   163  57.1  0.94   565   712  21.1   291   440     0     0     0     0     0  21.4  94.0  88.0     0   280   7.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   3.4 -0.83   156  14.3  -3.7  85.5   1.2    287.5   3.5  -0.1         
   975   3.9 -1.00   370  12.3  -1.3  92.4  0.75    287.5   4.0  -0.2         
   950   3.0  -1.6   588  11.5   4.6  78.1     0    288.8   3.2  -1.0         
   925  0.22  -1.5   810  10.0   8.9  75.3     0    289.6   0.5  -1.4         
   900  -1.2  -2.1  1038   8.6  12.7  71.4     0    290.3  -0.7  -2.3         
   875  -1.7  -2.9  1270   6.8  15.6  66.8     0    290.9  -1.1  -3.2         
   850  -2.3  -3.7  1507   5.1  16.9  60.1     0    291.5  -1.5  -4.1         
   825  -2.5  -4.4  1750   3.4  18.9  52.0     0    292.2  -1.6  -4.8         
   800  -1.5  -5.0  1999   2.6  14.9  44.1     0    293.9  -0.4  -5.2         
   775  0.97  -4.7  2255   2.7   9.9  28.2     0    296.7   1.9  -4.4         
   750   2.2  -5.4  2520   2.3   9.2  10.1     0    299.0   3.2  -4.9         
   725   2.5  -6.9  2793  0.91   7.8   9.1     0    300.5   3.9  -6.3         
   700   2.9  -8.8  3073 -0.18  11.0  11.1     0    302.3   4.6  -8.1         
   650   2.7 -13.4  3664  -1.8  14.0  11.0  2E-2    306.9   5.4 -12.6         
   600   3.1 -18.3  4297  -4.2  16.0   1.0  2E-2    311.2   6.8 -17.3         
   550   4.6 -20.8  4976  -9.2  13.9  12.0  2E-2    313.1   8.8 -19.4         
   500   7.9 -22.8  5705 -13.9  12.6  12.0  2E-2    316.1  12.4 -20.7         
   450   7.7 -24.3  6496 -19.6  14.5  31.1  2E-2    318.7  12.5 -22.2         
   400   5.8 -32.0  7359 -26.0  15.9  31.1  2E-2    321.3  12.2 -30.1         
   350   8.8 -39.8  8310 -33.5  14.7  34.2  2E-2    323.6  16.7 -37.2         
   300  10.4 -39.9  9372 -42.1  10.4  30.6  2E-2    326.0  18.3 -37.0         
   250  11.9 -37.2 10585 -47.5   4.8  19.8  2E-2    335.5  19.3 -33.9         
   200  19.4 -27.1 12060 -47.6   2.5   3.4  2E-2    357.4  24.5 -22.6         
   150  21.4 -20.6 13907 -59.6   4.8   2.7  2E-2    367.5  25.1 -15.8         
   100  13.4  -6.8 16386 -68.7 -0.28   6.6  2E-2    395.1  14.5  -3.9         
    50   3.5  0.11 20550 -65.7 -0.11   7.1  2E-2    488.6   3.4   0.8         
