 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 143, 214) to Lat:    38.41, Lon:  -123.02
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1009  80.1  1019     0     0  16.6  79.2   3.3 -1E-1  1009   123   167  69.6   1.9   569   584  22.1   292   464     0     0     0     0     0  24.2  12.0  88.0     0   279   6.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.5  0.17   156  14.7  -5.4  85.5   1.8    287.8   2.5   0.7         
   975   3.2 -0.12   370  12.4  -4.0  95.4  0.88    287.7   3.2   0.5         
   950   2.6 -0.72   587  11.5   1.0  82.1     0    288.8   2.7  -0.2         
   925  0.47  -1.4   810  10.0   8.0  79.3     0    289.6   0.7  -1.3         
   900  -1.3  -1.7  1037   8.6  11.8  75.4     0    290.3  -0.9  -2.0         
   875  -2.0  -2.4  1270   7.0  15.6  69.8     0    291.0  -1.4  -2.8         
   850  -2.3  -3.3  1507   5.3  16.9  62.1     0    291.7  -1.5  -3.7         
   825  -2.4  -4.1  1750   3.5  18.9  52.0     0    292.3  -1.5  -4.5         
   800  -1.8  -5.1  1999   2.3  16.7  43.1     0    293.6  -0.8  -5.4         
   775  0.59  -4.7  2255   2.3  11.7  31.2     0    296.3   1.5  -4.5         
   750   2.2  -5.3  2519   2.1   9.2  10.1     0    298.9   3.2  -4.7         
   725   2.6  -6.7  2792  0.91   7.8   8.1     0    300.5   4.0  -6.0         
   700   3.0  -8.6  3073 -1E-1  10.1  10.1     0    302.4   4.7  -7.8         
   650   2.7 -13.1  3663  -2.0  14.0  11.0  2E-2    306.7   5.3 -12.3         
   600   3.1 -18.2  4296  -4.2  16.0     0  2E-2    311.2   6.8 -17.2         
   550   4.6 -20.6  4975  -9.4  13.9  13.0  2E-2    313.0   8.7 -19.2         
   500   8.0 -22.7  5704 -13.9  12.6  12.0  2E-2    316.1  12.5 -20.6         
   450   7.9 -24.3  6495 -19.7  14.5  33.1  2E-2    318.5  12.8 -22.2         
   400   5.9 -31.9  7358 -26.0  15.9  30.1  2E-2    321.3  12.3 -30.0         
   350   9.0 -39.8  8309 -33.5  14.7  34.2  2E-2    323.6  17.0 -37.1         
   300  10.9 -40.1  9371 -42.1  10.4  31.6  2E-2    326.0  18.9 -37.0         
   250  12.3 -37.3 10583 -47.5   3.9  19.8  2E-2    335.5  19.7 -34.0         
   200  19.5 -27.3 12058 -47.6   2.5   3.4  2E-2    357.4  24.7 -22.7         
   150  21.9 -20.6 13905 -59.6   4.8   2.7  2E-2    367.5  25.6 -15.7         
   100  13.5  -6.8 16385 -68.5 -0.28   6.6  2E-2    395.3  14.6  -3.9         
    50   3.5  0.11 20549 -65.7 -0.11   7.1  2E-2    488.6   3.4   0.8         
