 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 144, 210) to Lat:    38.01, Lon:  -122.78
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1009  80.1  1019     0     0  16.1  81.2   3.5  -1.2  1009   103   115  55.5   1.9   577  1096  20.2   293   480     0     0     0     0     0  24.2     0  88.0     0   280   6.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   3.2  -1.3   158  14.7  -3.7  82.5   1.0    287.8   3.4  -0.7         
   975   3.5  -1.7   371  12.5  -5.7  88.4   1.0    287.8   3.8  -1.0         
   950   3.0  -1.8   589  11.1  -3.3  81.1  0.50    288.5   3.3  -1.2         
   925   1.5  -1.8   811   9.9   1.8  74.3     0    289.4   1.8  -1.4         
   900 -0.66  -2.6  1038   8.4   8.3  70.4     0    290.2  -0.1  -2.7         
   875  -1.6  -3.5  1271   7.0  12.0  63.8     0    291.0  -0.9  -3.8         
   850  -2.0  -3.9  1508   5.3  15.1  55.1     0    291.7  -1.2  -4.2         
   825  -1.3  -4.4  1751   3.7  15.4  44.0     0    292.5  -0.3  -4.5         
   800  4E-2  -4.9  2000   2.7  14.9  34.1     0    294.0   1.0  -4.7         
   775   1.3  -5.3  2256   2.6  11.7  27.2     0    296.6   2.4  -4.9         
   750   1.8  -6.2  2521   2.0   9.2  16.1     0    298.8   3.0  -5.7         
   725   2.5  -7.8  2794   1.0  10.5   8.1     0    300.6   4.1  -7.1         
   700   2.9  -9.3  3075 -0.18  11.8  10.1     0    302.3   4.7  -8.6         
   650   3.1 -13.6  3665  -2.0  14.0  12.0  2E-2    306.7   5.8 -12.7         
   600   2.8 -18.7  4297  -4.4  16.9   1.0  2E-2    311.1   6.6 -17.7         
   550   4.5 -21.5  4977  -9.1  14.8   8.0  2E-2    313.3   8.8 -20.1         
   500   7.5 -23.3  5706 -13.9  13.4  12.0  2E-2    316.1  12.1 -21.3         
   450   7.3 -24.7  6497 -19.6  14.5  23.1  2E-2    318.7  12.2 -22.7         
   400   5.3 -32.4  7360 -26.0  13.3  30.1  2E-2    321.3  11.8 -30.6         
   350   7.6 -40.6  8311 -33.5  13.9  35.2  2E-2    323.6  15.7 -38.2         
   300   9.0 -40.2  9374 -41.9  10.4  29.6  2E-2    326.3  17.0 -37.5         
   250  10.9 -36.9 10587 -47.3   4.8  17.8  2E-2    335.8  18.2 -33.9         
   200  19.3 -27.1 12064 -47.5   2.5   3.4  2E-2    357.6  24.4 -22.6         
   150  19.9 -21.0 13912 -59.3   3.5   2.7  2E-2    367.9  23.7 -16.5         
   100  12.9  -6.8 16391 -68.9 -0.28   6.6  2E-2    394.6  14.0  -4.0         
    50   3.4  0.11 20552 -65.8 -0.11   7.1  2E-2    488.4   3.3   0.8         
