 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 146, 207) to Lat:    37.74, Lon:  -122.43
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  15.5  85.8   2.8  0.12  1019  23.8   3.7  13.0     0   140  1052  15.4   273  1000     0     0     0     0     0  24.3     0     0  -3.3   281   9.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.9  0.36   159  13.8 -13.1  80.9  1E-1    286.9   2.8   0.9         
   975  0.97 -0.32   373  12.8 -11.6  76.9     0    288.0   1.0  -0.1         
   950  -1.2  -1.2   591  11.5  -7.5  72.9     0    288.9  -1.0  -1.4         
   925  -3.0  -2.0   813   9.9  -5.0  76.9     0    289.5  -2.5  -2.6         
   900  -3.7  -2.3  1040   8.2  -1.5  71.8     0    290.0  -3.2  -3.0         
   875  -3.0  -3.2  1273   7.9   1.4  52.3     0    292.0  -2.3  -3.8         
   850  -2.2  -4.3  1512   7.8   3.1  37.0     0    294.3  -1.3  -4.6         
   825  -1.4  -4.9  1757   6.6   4.1  30.0     0    295.5  -0.4  -5.0         
   800 -0.52  -5.8  2009   5.5   3.0  21.0     0    297.0   0.7  -5.7         
   775  0.53  -6.4  2267   5.2   2.3  11.0     0    299.4   1.8  -6.1         
   750   1.2  -7.3  2535   4.2  0.99   4.0     0    301.2   2.6  -6.9         
   725   1.4  -8.9  2809   2.5     0   2.0     0    302.2   3.2  -8.5         
   700   1.4 -10.6  3091   1.4  0.91   5.0     0    304.1   3.5 -10.1         
   650  0.75 -13.6  3685 -0.45   1.4   1.0     0    308.5   3.5 -13.2         
   600   2.1 -15.5  4320  -3.3   4.6   5.0  2E-2    312.3   5.2 -14.7         
   550   7.5 -17.4  5002  -7.2   5.8  10.0  2E-2    315.5  10.8 -15.6         
   500  10.8 -18.7  5737 -12.6   6.0  12.0  2E-2    317.7  14.4 -16.2         
   450   5.0 -21.2  6530 -18.7   5.0  32.0  2E-2    319.7   9.1 -19.8         
   400  0.60 -28.5  7397 -24.8   4.0  33.0  2E-2    322.7   6.3 -27.8         
   350   4.7 -32.7  8351 -33.1   1.4  44.0  2E-2    324.1  11.2 -31.1         
   300   9.0 -39.7  9417 -41.7  0.56  45.0  2E-2    326.6  16.8 -37.1         
   250   8.4 -39.4 10626 -48.7     0  24.9  2E-2    333.7  16.1 -36.9         
   200  19.6 -22.8 12099 -48.0  -2.6   3.4  2E-2    356.8  23.8 -18.4         
   150  20.1 -17.2 13939 -60.4  0.87   3.7  2E-2    366.0  23.1 -12.8         
   100  12.0  -5.4 16405 -69.8  -1.9   8.6  2E-2    392.8  12.9  -2.8         
    50   5.5 -0.50 20558 -65.6 -0.70   7.1  2E-2    488.8   5.5   0.6         
