 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 146, 208) to Lat:    37.85, Lon:  -122.46
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  24.1  1019     0     0  16.9  76.8   2.2  0.25  1016  27.8  19.7  25.5   1.9   138  1564  17.4   294   464     0     0     0     0     0  24.3     0  28.0  -3.3   280   8.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.9  0.61   158  15.1 -13.1  74.9  0.30    288.3   1.8   1.0         
   975  0.60 -0.19   373  13.8 -11.6  76.9  0.26    289.0   0.6  -0.1         
   950  -1.1 -0.79   591  12.0  -9.7  79.9  0.25    289.4  -0.9  -1.0         
   925  -2.6  -1.7   814  10.2  -7.6  79.9     0    289.7  -2.2  -2.2         
   900  -3.6  -2.0  1041   8.2  -4.2  76.8     0    290.0  -3.1  -2.7         
   875  -3.1  -3.0  1273   7.8  -1.2  57.3     0    291.9  -2.4  -3.6         
   850  -2.4  -4.1  1512   7.8   3.1  39.0     0    294.3  -1.6  -4.5         
   825  -1.8  -4.6  1757   6.4   4.1  32.0     0    295.4  -0.8  -4.9         
   800 -0.64  -5.5  2009   5.2   4.7  24.0     0    296.8   0.5  -5.5         
   775  0.53  -6.4  2267   4.9   3.2  14.0     0    299.1   1.8  -6.1         
   750   1.3  -7.3  2534   4.4   2.7   5.0     0    301.3   2.8  -6.9         
   725   1.6  -8.8  2808   2.5   2.0   2.0     0    302.2   3.4  -8.3         
   700   1.7 -10.5  3091   1.5   1.8   5.0     0    304.2   3.7 -10.0         
   650  0.88 -13.3  3685 -0.45   3.6   1.0     0    308.5   3.5 -12.9         
   600   2.1 -15.1  4320  -3.4   5.9   5.0  2E-2    312.2   5.1 -14.3         
   550   7.3 -17.0  5002  -7.4   7.2  10.0  2E-2    315.4  10.6 -15.2         
   500  11.0 -18.3  5737 -12.6   6.8  11.0  2E-2    317.7  14.4 -15.8         
   450   5.2 -21.0  6530 -18.9   5.0  32.0  2E-2    319.5   9.3 -19.5         
   400  0.85 -28.3  7397 -24.9   2.7  34.0  2E-2    322.6   6.5 -27.5         
   350   4.8 -32.6  8350 -33.1     0  45.0  2E-2    324.1  11.3 -30.9         
   300   9.3 -39.6  9416 -41.7 -0.76  46.0  2E-2    326.6  17.0 -36.9         
   250   8.7 -39.6 10625 -48.8     0  25.9  2E-2    333.5  16.5 -37.0         
   200  19.7 -22.9 12096 -48.0  -2.6   4.4  2E-2    356.8  23.9 -18.5         
   150  20.4 -17.3 13937 -60.4  0.87   3.7  2E-2    366.0  23.5 -12.9         
   100  12.3  -5.4 16403 -69.8  -1.9   8.6  2E-2    392.8  13.1  -2.8         
    50   5.5 -0.62 20557 -65.5 -0.70   7.1  2E-2    489.1   5.5   0.5         
