 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 147, 205) to Lat:    37.55, Lon:  -122.24
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1012  64.1  1019     0     0  16.9  66.8   2.8  -1.0  1012  51.8  55.7  42.6   1.1   140  1052  18.6   294   864     0     0     0     0     0  24.3     0     0     0   282   9.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.7  -1.0   160  14.9 -16.7  69.9  0.74    288.0   2.8  -0.5         
   975   1.5  -1.3   373  12.9 -13.7  74.9  0.57    288.1   1.7  -1.0         
   950 -0.59  -1.3   591  11.2  -9.7  76.9  0.50    288.6  -0.3  -1.4         
   925  -2.9  -1.9   813   9.6  -6.7  71.9  0.12    289.1  -2.4  -2.4         
   900  -3.6  -2.1  1040   8.2  -2.4  69.8     0    290.0  -3.1  -2.8         
   875  -2.9  -3.0  1272   7.9  -1.2  52.3     0    292.0  -2.2  -3.5         
   850  -1.7  -4.1  1511   7.9  0.49  34.0     0    294.4  -0.8  -4.4         
   825  -1.0  -4.9  1757   7.1   2.4  28.0     0    296.1  -0.0  -5.0         
   800 -0.52  -5.5  2009   6.0   3.0  19.0     0    297.6   0.6  -5.5         
   775  0.15  -6.5  2268   5.0   2.3  11.0     0    299.2   1.4  -6.3         
   750  0.69  -7.6  2534   3.9  0.99   4.0     0    300.8   2.2  -7.3         
   725  0.90  -9.2  2808   2.5   1.1   2.0     0    302.2   2.7  -8.8         
   700   1.0 -10.8  3090   1.0  0.91   3.0     0    303.6   3.2 -10.3         
   650  0.63 -14.0  3683 -0.57   1.4   2.0     0    308.3   3.4 -13.6         
   600   2.0 -16.7  4319  -3.2   4.6   4.0  2E-2    312.5   5.3 -16.0         
   550   7.3 -18.7  5001  -7.4   7.2  11.0  2E-2    315.4  10.9 -16.8         
   500  10.6 -19.8  5735 -12.8   6.8  11.0  2E-2    317.5  14.3 -17.3         
   450   4.5 -22.0  6529 -18.7   6.4  29.0  2E-2    319.7   8.8 -20.7         
   400 -0.15 -29.3  7396 -24.8   5.3  31.0  2E-2    322.7   5.7 -28.7         
   350   4.1 -33.7  8350 -33.0   2.3  42.0  2E-2    324.3  10.7 -32.2         
   300   8.4 -40.4  9416 -41.6   1.4  42.0  2E-2    326.7  16.3 -37.9         
   250   7.7 -39.1 10626 -48.3     0  23.9  2E-2    334.3  15.4 -36.8         
   200  19.5 -22.9 12101 -47.7  -2.6   4.4  2E-2    357.2  23.7 -18.5         
   150  19.1 -17.2 13942 -60.3 -0.23   3.7  2E-2    366.2  22.1 -13.1         
   100  11.9  -5.5 16408 -70.1  -3.0   9.6  2E-2    392.3  12.8  -3.0         
    50   5.4 -0.50 20558 -65.8 -0.70   7.1  2E-2    488.5   5.4   0.6         
