 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 147, 206) to Lat:    37.66, Lon:  -122.27
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  32.1  1019     0     0  15.5  80.8   2.9 -0.38  1016  31.8  21.7  21.5     0   138   668  16.4   273  1000     0     0     0     0     0  24.3     0     0     0   282   9.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.9 -0.26   160  13.6 -16.7  80.9  0.30    286.8   2.9   0.3         
   975   1.6 -0.69   373  12.3 -12.9  75.9  0.20    287.5   1.7  -0.4         
   950  -1.1  -1.2   591  11.1  -8.8  68.9     0    288.5  -0.8  -1.4         
   925  -3.0  -2.0   813   9.7  -5.0  74.9     0    289.2  -2.5  -2.6         
   900  -3.5  -2.1  1040   8.5  -1.5  69.8     0    290.2  -3.0  -2.8         
   875  -3.0  -3.0  1272   8.1  0.51  52.3     0    292.2  -2.3  -3.5         
   850  -1.9  -4.0  1511   7.9   2.3  35.0     0    294.4  -1.1  -4.3         
   825  -1.1  -4.6  1757   7.2   3.2  27.0     0    296.2  -0.2  -4.7         
   800 -0.64  -5.4  2009   6.0   3.0  19.0     0    297.6   0.4  -5.4         
   775  0.15  -6.2  2268   5.0   2.3  11.0     0    299.2   1.4  -6.1         
   750  0.69  -7.5  2534   3.7  0.99   5.0     0    300.6   2.2  -7.2         
   725  0.90  -8.9  2808   2.4   2.0   2.0     0    302.1   2.7  -8.6         
   700   1.2 -10.6  3090   1.0  0.91   3.0     0    303.6   3.3 -10.2         
   650  0.63 -13.6  3684 -0.57   2.7   2.0     0    308.3   3.3 -13.2         
   600   1.9 -16.3  4319  -3.3   4.6   4.0  2E-2    312.3   5.1 -15.6         
   550   7.2 -18.3  5001  -7.4   5.8  10.0  2E-2    315.4  10.7 -16.5         
   500  10.6 -19.6  5735 -12.8   6.0  12.0  2E-2    317.5  14.3 -17.1         
   450   4.7 -21.7  6528 -18.7   6.4  30.0  2E-2    319.7   9.0 -20.4         
   400  0.10 -29.0  7396 -24.8   5.3  32.0  2E-2    322.7   5.9 -28.4         
   350   4.2 -33.6  8350 -33.0   2.3  43.0  2E-2    324.3  10.8 -32.0         
   300   8.8 -40.4  9415 -41.7   1.4  44.0  2E-2    326.6  16.6 -37.8         
   250   8.0 -39.5 10625 -48.4     0  24.9  2E-2    334.1  15.7 -37.1         
   200  19.6 -22.9 12099 -47.7  -2.6   4.4  2E-2    357.2  23.8 -18.5         
   150  19.4 -17.3 13940 -60.3 -0.23   3.7  2E-2    366.2  22.5 -13.1         
   100  12.0  -5.5 16406 -70.0  -3.0   9.6  2E-2    392.6  12.9  -3.0         
    50   5.4 -0.50 20558 -65.6 -0.70   7.1  2E-2    488.8   5.4   0.6         
