 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 148, 208) to Lat:    37.89, Lon:  -122.19
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1005   120  1019     0     0  17.1  67.8   2.3 -0.25  1005  51.8  41.7  38.7   1.9   132   924  18.5   293   480     0     0     0     0     0  24.3     0     0     0   281   8.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.1 -0.39   158  16.3 -18.8  68.9  0.36    289.4   2.1   0.0         
   975   1.2 -0.44   373  13.9 -18.1  76.9  0.39    289.1   1.3  -0.2         
   950 -0.46 -0.79   591  12.0 -15.4  80.9  0.25    289.4  -0.3  -0.9         
   925  -1.6  -1.3   814  10.4 -12.0  79.9     0    290.0  -1.3  -1.6         
   900  -3.3  -2.1  1042   8.6  -4.2  79.8     0    290.4  -2.8  -2.8         
   875  -3.1  -2.7  1274   7.3   2.3  70.3     0    291.4  -2.5  -3.3         
   850  -2.4  -3.5  1512   7.1   6.6  46.0     0    293.6  -1.7  -3.9         
   825  -1.9  -4.1  1757   6.1   7.6  38.0     0    295.0  -1.0  -4.4         
   800  -1.1  -4.8  2009   5.1   7.4  30.0     0    296.6  -0.2  -4.9         
   775 -1E-1  -5.7  2267   4.8   4.9  19.0     0    299.0   1.0  -5.7         
   750  0.69  -7.0  2534   4.0   3.6   8.0     0    300.9   2.1  -6.7         
   725   1.0  -8.4  2808   2.5   2.0   1.0     0    302.2   2.7  -8.0         
   700   1.3 -10.1  3090  0.91  0.91   3.0     0    303.5   3.3  -9.7         
   650  0.63 -12.5  3683 -0.95   1.4   3.0     0    307.9   3.1 -12.1         
   600   1.6 -15.7  4317  -3.4   2.4   3.0  2E-2    312.2   4.7 -15.1         
   550   6.6 -18.2  4999  -7.6   3.6  10.0  2E-2    315.1  10.1 -16.5         
   500  10.5 -19.3  5732 -13.0   4.7  11.0  2E-2    317.2  14.1 -16.9         
   450   5.0 -21.4  6525 -19.0   5.0  30.0  2E-2    319.4   9.1 -20.0         
   400  0.10 -28.8  7391 -24.9   5.3  32.0  2E-2    322.6   5.8 -28.2         
   350   4.0 -33.9  8345 -33.1   2.3  44.0  2E-2    324.1  10.6 -32.5         
   300   9.3 -40.9  9410 -41.7   1.4  45.0  2E-2    326.6  17.2 -38.2         
   250   8.7 -40.5 10620 -48.7     0  25.9  2E-2    333.7  16.6 -37.9         
   200  20.1 -23.1 12092 -47.7  -1.2   4.4  2E-2    357.2  24.3 -18.7         
   150  19.9 -18.0 13935 -60.0 -0.23   3.7  2E-2    366.7  23.1 -13.6         
   100  12.4  -5.5 16403 -69.8  -1.9   8.6  2E-2    392.8  13.2  -2.9         
    50   5.4 -0.62 20558 -65.5 -0.70   7.1  2E-2    489.1   5.4   0.5         
