 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 148, 209) to Lat:    37.99, Lon:  -122.22
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1010  72.1  1019     0     0  18.0  64.8   1.9     0  1010  43.8  35.7  34.0  0.94   132  1436  19.1   293   440     0     0     0     0     0  24.3     0  28.0     0   280   7.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.9 -0.14   158  16.5 -15.3  67.9  0.42    289.7   1.9   0.2         
   975  0.72 -0.19   373  14.4 -15.9  74.9  0.39    289.6   0.7  -0.0         
   950 -0.71 -0.54   592  12.2 -14.6  79.9  0.25    289.6  -0.6  -0.7         
   925  -1.5  -1.2   815  10.3 -11.1  85.9  0.12    289.9  -1.2  -1.4         
   900  -3.1  -1.9  1042   8.3  -5.1  84.8     0    290.1  -2.7  -2.5         
   875  -3.1  -2.7  1274   7.4  0.51  70.3     0    291.5  -2.5  -3.3         
   850  -2.6  -3.5  1513   7.5   4.0  44.0     0    294.0  -1.8  -3.9         
   825  -1.9  -4.1  1758   6.1   6.8  38.0     0    295.0  -1.0  -4.4         
   800  -1.0  -4.9  2009   4.9   7.4  30.0     0    296.4  -0.0  -5.0         
   775 -1E-1  -5.7  2267   4.3   4.9  20.0     0    298.4   1.1  -5.7         
   750  0.69  -6.8  2533   3.7   3.6  12.0     0    300.6   2.0  -6.6         
   725   1.3  -8.3  2807   2.5   1.1   2.0     0    302.2   2.9  -7.9         
   700   1.4 -10.1  3090   1.0 -0.41   2.0     0    303.6   3.4  -9.6         
   650  0.75 -12.2  3682 -0.95  0.55   3.0     0    307.9   3.2 -11.8         
   600   1.8 -15.2  4317  -3.4   1.5   3.0  2E-2    312.2   4.8 -14.5         
   550   6.7 -17.8  4999  -7.6   3.6  10.0  2E-2    315.1  10.1 -16.1         
   500  10.5 -19.0  5732 -13.0   4.7  11.0  2E-2    317.2  14.0 -16.5         
   450   5.1 -21.1  6525 -19.0   5.0  30.0  2E-2    319.4   9.2 -19.7         
   400  0.35 -28.5  7391 -24.9   4.0  33.0  2E-2    322.6   6.0 -27.9         
   350   4.2 -33.7  8344 -33.1   2.3  45.0  2E-2    324.1  10.8 -32.2         
   300   9.5 -40.7  9409 -41.7   1.4  46.0  2E-2    326.6  17.4 -38.0         
   250   9.1 -40.9 10618 -48.8  0.78  25.9  2E-2    333.5  17.1 -38.2         
   200  20.2 -23.1 12090 -47.8  -1.2   4.4  2E-2    357.0  24.5 -18.6         
   150  20.3 -18.1 13932 -60.0  0.87   3.7  2E-2    366.7  23.5 -13.7         
   100  12.5  -5.5 16401 -69.7  -1.9   8.6  2E-2    393.1  13.4  -2.9         
    50   5.4 -0.62 20557 -65.5 -0.70   7.1  2E-2    489.1   5.4   0.5         
