 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 146, 205) to Lat:    37.53, Lon:  -122.38
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1012  64.1  1020     0     0  13.8  88.5   2.0  -1.5  1012     0  -7.4  36.5   1.9     0   712  13.6   289   424     0     0     0     0     0  24.3     0     0     0   284  11.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   3.2  -2.7   163  13.2  -5.1  90.1  0.42    286.3   3.7  -2.1         
   975   1.3  -3.0   376  12.4  -4.3  80.1  1E-1    287.6   1.9  -2.6         
   950  -1.5  -1.9   594  11.5     0  71.7     0    288.8  -1.1  -2.1         
   925  -2.8  -1.9   816  10.2   1.4  74.3     0    289.8  -2.3  -2.4         
   900  -4.1  -1.5  1044   9.1   1.2  69.8     0    290.9  -3.7  -2.3         
   875  -4.0  -2.0  1276   8.8   3.0  45.6     0    293.0  -3.5  -2.8         
   850  -3.5  -2.2  1516   8.6   5.3  27.9     0    295.2  -3.0  -2.9         
   825  -2.4  -3.1  1762   7.7   8.1  21.2     0    296.7  -1.7  -3.6         
   800 -0.87  -4.5  2015   7.2   6.0  11.2     0    298.8   0.1  -4.6         
   775     0  -5.7  2275   6.9   6.5   4.3     0    301.2   1.1  -5.6         
   750 -0.35  -6.8  2544   5.9   8.1   2.2     0    302.9   1.0  -6.8         
   725 -0.99  -8.3  2819   4.1   8.8   2.1     0    304.0   0.7  -8.3         
   700 -0.38  -9.8  3104   4.3   9.6   1.0     0    307.2   1.6  -9.7         
   650   1.5 -11.2  3703   1.5   9.7   2.0     0    310.7   3.7 -10.7         
   600   4.6 -11.8  4342  -2.3  13.6  15.0  2E-2    313.5   6.9 -10.6         
   550   9.2 -14.2  5027  -5.8  12.7   8.0  2E-2    317.2  11.9 -12.0         
   500  10.3 -15.0  5767 -11.0  15.8  21.0     0    319.7  13.1 -12.6         
   450   4.6 -16.4  6564 -17.7  14.1  34.0     0    321.0   7.8 -15.1         
   400   1.6 -20.1  7434 -24.5   8.6  32.0  3E-2    323.2   5.6 -19.4         
   350   4.2 -23.7  8388 -32.8   2.9  45.0  2E-2    324.5   8.9 -22.4         
   300   7.5 -28.8  9454 -41.5     0  49.2  2E-2    326.9  13.1 -26.7         
   250   7.6 -29.6 10665 -48.5   1.6  16.9  2E-2    333.9  13.4 -27.4         
   200  20.9 -18.9 12133 -50.0  1.00   3.4  2E-2    353.6  24.3 -14.4         
   150  19.2 -13.0 13962 -60.9   1.8   4.6  2E-2    365.2  21.4  -8.9         
   100   8.9  -4.3 16421 -70.2  -1.7   9.6  2E-2    392.0   9.6  -2.4         
    50   5.0  -1.2 20565 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.2         
