 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 146, 206) to Lat:    37.64, Lon:  -122.40
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017  24.1  1019     0     0  13.9  92.5   2.2 -0.99  1017  21.0  -9.4  30.2   1.1     0   712  13.8   289   880     0     0     0     0     0  24.3     0     0     0   284  11.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   3.8  -2.7   162  13.3  -5.1  88.1  0.24    286.5   4.3  -1.9         
   975   1.1  -2.3   376  12.7  -2.5  78.1     0    288.0   1.5  -2.1         
   950  -1.4  -2.0   593  11.6 -0.53  74.7     0    289.0  -0.9  -2.2         
   925  -2.5  -2.1   816  10.1  0.54  78.3     0    289.7  -2.0  -2.6         
   900  -4.1  -1.8  1043   9.0   1.2  71.8     0    290.8  -3.6  -2.6         
   875  -4.1  -2.0  1276   8.6   3.0  46.6     0    292.7  -3.6  -2.8         
   850  -3.5  -2.0  1516   8.5   5.3  27.9     0    295.0  -3.1  -2.7         
   825  -2.4  -2.8  1762   7.4   8.1  22.2     0    296.5  -1.8  -3.2         
   800 -0.87  -4.2  2014   7.1   6.0  11.2     0    298.7   0.0  -4.3         
   775     0  -5.5  2275   7.0   6.5   4.3     0    301.3   1.1  -5.4         
   750 -0.35  -6.7  2543   5.7   8.1   2.2     0    302.8   1.0  -6.7         
   725 -0.99  -8.1  2819   4.3   8.8   3.1     0    304.1   0.7  -8.2         
   700 -0.25  -9.7  3104   4.3   9.6   1.0     0    307.2   1.7  -9.5         
   650   1.6 -11.0  3702   1.5  13.2   2.0     0    310.7   3.8 -10.4         
   600   4.6 -11.5  4341  -2.4  13.6  14.0  2E-2    313.4   6.8 -10.4         
   550   9.2 -13.9  5026  -5.8  12.7   7.0  2E-2    317.2  11.8 -11.8         
   500  10.4 -14.9  5765 -11.1  15.8  21.0     0    319.5  13.2 -12.5         
   450   4.9 -16.4  6563 -17.7  14.1  34.0     0    321.0   8.1 -15.1         
   400   1.7 -20.1  7432 -24.5   8.6  33.0  3E-2    323.2   5.7 -19.3         
   350   4.5 -23.7  8387 -32.8   2.9  45.0  2E-2    324.5   9.1 -22.3         
   300   8.0 -28.7  9453 -41.5   1.5  49.2  2E-2    326.9  13.6 -26.5         
   250   8.0 -29.6 10664 -48.5   1.6  16.9  2E-2    333.9  13.8 -27.4         
   200  21.3 -18.9 12131 -50.0  1.00   3.4  2E-2    353.6  24.7 -14.3         
   150  19.7 -13.0 13960 -60.9   1.8   4.6  2E-2    365.2  21.9  -8.8         
   100   9.1  -4.3 16419 -70.2  -1.7   9.6  2E-2    392.0   9.7  -2.4         
    50   5.0  -1.1 20564 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
