 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 147, 205) to Lat:    37.55, Lon:  -122.24
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1012  64.1  1019     0     0  13.9  90.5   1.6  -1.1  1012  17.0  -5.4  25.6   1.1     0   456  13.8   290   864     0     0     0     0     0  24.3     0     0     0   284  10.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.7  -2.0   163  13.2  -4.3  91.1  0.17    286.3   3.0  -1.4         
   975   1.2  -2.8   376  12.4  -2.5  78.1     0    287.6   1.7  -2.6         
   950  -1.1  -2.3   593  11.5     0  75.7     0    288.8  -0.6  -2.4         
   925  -2.5  -2.1   816  10.4  0.54  78.3     0    289.9  -2.1  -2.6         
   900  -3.7  -1.9  1043   9.0   1.2  75.8     0    290.8  -3.2  -2.6         
   875  -3.7  -2.0  1276   8.7   1.3  47.6     0    292.8  -3.3  -2.7         
   850  -3.5  -2.1  1516   8.6   5.3  28.9     0    295.2  -3.0  -2.8         
   825  -2.7  -2.8  1762   7.6   8.1  23.2     0    296.6  -2.1  -3.2         
   800  -1.2  -4.2  2014   7.1   9.5  13.2     0    298.7  -0.4  -4.4         
   775 -0.26  -5.6  2275   6.7   8.3   5.3     0    301.1   0.9  -5.5         
   750 -0.48  -7.0  2543   5.9   8.1   2.2     0    302.9   0.9  -6.9         
   725  -1.1  -8.4  2819   4.3   8.8   2.1     0    304.1   0.6  -8.4         
   700 -0.50  -9.9  3103   4.0   9.6   2.0     0    307.0   1.5  -9.8         
   650   1.4 -11.6  3702   1.5  13.2   2.0     0    310.7   3.6 -11.1         
   600   4.3 -12.3  4341  -2.3  13.6  15.0  2E-2    313.5   6.7 -11.2         
   550   9.1 -14.4  5026  -5.8  12.7   7.0  2E-2    317.2  11.8 -12.3         
   500  10.1 -15.4  5765 -11.1  15.8  20.0     0    319.5  13.0 -13.0         
   450   4.4 -16.7  6563 -17.7  13.2  34.0     0    321.0   7.6 -15.5         
   400   1.1 -20.3  7432 -24.5   8.6  32.0  3E-2    323.2   5.1 -19.7         
   350   3.9 -24.2  8387 -32.8   2.9  45.0  2E-2    324.5   8.6 -22.9         
   300   7.2 -29.8  9452 -41.6   1.5  48.2  2E-2    326.7  13.0 -27.8         
   250   7.4 -30.3 10663 -48.4   1.6  16.9  2E-2    334.1  13.3 -28.2         
   200  21.0 -19.4 12132 -49.9  1.00   3.4  2E-2    353.8  24.5 -14.8         
   150  19.2 -13.4 13962 -60.7   1.8   4.6  2E-2    365.5  21.5  -9.3         
   100   9.1  -4.4 16421 -70.2  -1.7   9.6  2E-2    392.0   9.8  -2.5         
    50   5.0  -1.2 20565 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.2         
