 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 147, 206) to Lat:    37.66, Lon:  -122.27
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  32.1  1019     0     0  14.0  92.5   1.7 -0.62  1016  13.0     0  13.8     0     0   456  14.3   273  1000     0     0     0     0     0  19.7  20.0     0     0   283  10.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.7 -1.00   162  13.2  -5.1  89.1  0.11    286.3   2.8  -0.4         
   975   1.1  -2.3   375  12.6 -0.75  74.1     0    287.8   1.5  -2.1         
   950  -1.2  -2.5   593  11.7     0  77.7     0    289.1  -0.7  -2.7         
   925  -2.3  -2.4   816  10.4     0  80.3     0    289.9  -1.8  -2.8         
   900  -3.4  -2.0  1043   8.8   1.2  78.8     0    290.6  -3.0  -2.7         
   875  -3.9  -2.0  1276   8.6   3.0  48.6     0    292.7  -3.4  -2.8         
   850  -3.4  -2.0  1515   8.5   5.3  28.9     0    295.0  -2.9  -2.6         
   825  -2.5  -2.4  1761   7.6   8.1  22.2     0    296.6  -2.0  -2.8         
   800  -1.1  -3.9  2014   7.0   7.8  12.2     0    298.6  -0.3  -4.0         
   775 -0.13  -5.4  2274   6.7   8.3   5.3     0    301.1   0.9  -5.3         
   750 -0.23  -6.6  2543   5.7   8.1   2.2     0    302.8   1.1  -6.5         
   725 -0.99  -8.1  2818   4.3   8.8   2.1     0    304.1   0.7  -8.2         
   700 -0.38  -9.8  3103   4.0   9.6   2.0     0    307.0   1.6  -9.7         
   650   1.5 -11.5  3701   1.4  13.2   2.0     0    310.5   3.7 -10.9         
   600   4.3 -12.0  4340  -2.4  13.6  15.0  2E-2    313.4   6.6 -10.9         
   550   9.1 -14.3  5025  -6.0  12.7   7.0  2E-2    317.0  11.8 -12.2         
   500  10.3 -15.3  5764 -11.2  14.1  21.0     0    319.4  13.1 -12.9         
   450   4.6 -16.7  6561 -17.7  13.2  34.0     0    321.0   7.9 -15.4         
   400   1.3 -20.3  7431 -24.6   8.6  32.0  3E-2    323.0   5.3 -19.7         
   350   4.1 -24.2  8385 -32.8   2.9  45.0  2E-2    324.5   8.9 -22.9         
   300   7.8 -29.6  9451 -41.6   1.5  49.2  2E-2    326.7  13.6 -27.4         
   250   7.9 -30.3 10662 -48.5   1.6  16.9  2E-2    333.9  13.8 -28.1         
   200  21.4 -19.4 12129 -49.9  1.00   3.4  2E-2    353.8  24.9 -14.8         
   150  19.6 -13.4 13960 -60.7   1.8   4.6  2E-2    365.5  21.8  -9.2         
   100   9.2  -4.5 16419 -70.2  -1.7   9.6  2E-2    392.0   9.9  -2.6         
    50   5.0  -1.1 20564 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
