 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 147, 208) to Lat:    37.87, Lon:  -122.33
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  32.1  1019     0     0  14.7  87.5   1.2  0.13  1016   5.0     0   9.9     0     0   328  14.8   273  1000     0     0     0     0     0  24.3     0     0     0   283  10.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.1 -0.62   160  14.3  -2.5  82.1  5E-2    287.5   2.1  -0.2         
   975  0.93  -1.7   375  13.4 -0.75  79.1     0    288.6   1.3  -1.5         
   950  -1.4  -2.1   593  11.8     0  82.7     0    289.2  -0.9  -2.4         
   925  -2.3  -2.5   816  10.1   1.4  88.3     0    289.7  -1.7  -2.9         
   900  -3.7  -2.4  1043   8.7   4.7  78.8     0    290.5  -3.1  -3.1         
   875  -4.1  -2.4  1276   8.2   4.8  53.6     0    292.3  -3.5  -3.2         
   850  -3.4  -1.7  1515   8.2   7.1  31.9     0    294.8  -3.0  -2.4         
   825  -2.4  -2.3  1760   7.2   9.9  23.2     0    296.2  -1.9  -2.7         
   800  -1.1  -3.6  2013   7.0   7.8  11.2     0    298.6  -0.4  -3.8         
   775 -0.13  -5.0  2273   6.7   6.5   4.3     0    301.1   0.9  -4.9         
   750 -0.23  -6.0  2541   5.7   8.1   1.2     0    302.8   1.0  -5.9         
   725 -0.74  -7.5  2817   4.1   8.8   3.1     0    304.0   0.8  -7.5         
   700 -0.38  -9.3  3102   3.8   9.6   2.0     0    306.7   1.5  -9.2         
   650   1.7 -11.0  3700   1.4  13.2   2.0     0    310.5   3.9 -10.4         
   600   4.3 -11.7  4338  -2.6  13.6  16.0  2E-2    313.1   6.6 -10.5         
   550   9.0 -13.9  5023  -6.1  12.7   8.0  2E-2    316.9  11.6 -11.8         
   500  10.4 -14.9  5761 -11.3  14.1  21.0     0    319.2  13.1 -12.5         
   450   5.2 -16.5  6558 -17.7  11.4  34.0     0    321.0   8.5 -15.1         
   400   1.7 -20.2  7428 -24.6   7.7  33.0  3E-2    323.0   5.7 -19.5         
   350   4.6 -24.1  8382 -32.8   2.9  46.0  2E-2    324.5   9.3 -22.6         
   300   8.8 -29.3  9448 -41.6   1.5  49.2  2E-2    326.7  14.5 -27.0         
   250   8.9 -30.2 10658 -48.7   2.4  16.9  2E-2    333.7  14.7 -27.8         
   200  22.0 -19.4 12125 -49.9  1.00   3.4  2E-2    353.8  25.5 -14.6         
   150  20.3 -13.5 13956 -60.7   1.8   4.6  2E-2    365.5  22.6  -9.2         
   100   9.4  -4.5 16415 -70.2  -1.7   9.6  2E-2    392.0  10.2  -2.5         
    50   5.0  -1.1 20561 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
