 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 148, 208) to Lat:    37.89, Lon:  -122.19
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1005   120  1019     0     0  14.0  87.5   1.1 -0.12  1005  -7.0  -3.4  17.7   1.9     0   328  13.6   289   480     0     0     0     0     0  24.3  18.0     0     0   283   9.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.6 -0.62   161  13.9  -4.3  88.1  5E-2    287.1   1.6  -0.3         
   975  0.55  -2.1   374  13.2  -7.8  82.1     0    288.5   1.0  -1.9         
   950  -1.5  -2.6   593  12.1  -4.9  82.7     0    289.5  -0.9  -2.9         
   925  -1.9  -2.8   816  10.2  -3.0  91.3     0    289.8  -1.3  -3.1         
   900  -2.8  -2.9  1043   8.5   2.9  90.8     0    290.2  -2.2  -3.4         
   875  -3.5  -2.7  1275   7.7   6.6  59.6     0    291.8  -2.9  -3.3         
   850  -3.3  -1.7  1515   8.1   8.9  33.9     0    294.6  -2.9  -2.4         
   825  -2.5  -2.0  1760   7.1  11.6  25.2     0    296.1  -2.1  -2.5         
   800  -1.6  -3.1  2012   6.7   9.5  13.2     0    298.3  -1.0  -3.4         
   775 -0.76  -4.5  2273   6.6   8.3   6.3     0    300.9   0.2  -4.5         
   750 -0.48  -5.6  2541   6.0   8.1   1.2     0    303.1   0.6  -5.6         
   725 -0.74  -7.4  2817   3.9   8.8   3.1     0    303.7   0.8  -7.4         
   700 -0.50  -9.0  3101   3.5  13.2   3.0     0    306.4   1.3  -9.0         
   650   1.6 -11.2  3699   1.3  13.2   2.0     0    310.4   3.8 -10.7         
   600   4.1 -12.0  4337  -2.6  13.6  17.0  2E-2    313.1   6.4 -11.0         
   550   8.7 -14.3  5022  -6.2  12.7   8.0  2E-2    316.7  11.4 -12.3         
   500  10.4 -15.3  5760 -11.3  12.3  20.0     0    319.2  13.2 -12.9         
   450   5.0 -16.8  6557 -17.8  11.4  34.0     0    320.9   8.2 -15.5         
   400   1.3 -20.4  7426 -24.6   8.6  33.0  3E-2    323.0   5.4 -19.8         
   350   4.2 -24.7  8380 -32.9   2.9  47.0  2E-2    324.3   9.1 -23.3         
   300   8.8 -30.2  9446 -41.6   1.5  48.2  2E-2    326.7  14.7 -27.8         
   250   8.8 -30.8 10657 -48.5   2.4  15.9  2E-2    333.9  14.7 -28.5         
   200  22.2 -19.9 12124 -49.6  1.00   3.4  2E-2    354.2  25.7 -15.1         
   150  20.3 -13.9 13955 -60.6  0.68   4.6  2E-2    365.7  22.7  -9.5         
   100   9.6  -4.7 16415 -70.2  -1.7   9.6  2E-2    392.0  10.3  -2.7         
    50   5.0  -1.1 20561 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
