 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 148, 209) to Lat:    37.99, Lon:  -122.22
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1011  72.1  1019     0     0  14.8  83.5  0.86     0  1011  -3.0  -3.4  11.5  0.94     0   200  13.1   290   440     0     0     0     0     0  24.3   6.0     0 -16.4   283   9.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.6 -0.87   160  14.8  -4.3  80.1  5E-2    288.0   1.7  -0.5         
   975 -1E-1  -1.6   374  13.7  -7.8  79.1     0    289.0   0.2  -1.6         
   950  -1.6  -2.1   593  12.2  -7.6  82.7     0    289.6  -1.2  -2.4         
   925  -2.0  -2.5   816  10.2  -3.9  92.3     0    289.8  -1.5  -2.9         
   900  -2.4  -2.8  1043   8.5   1.2  90.8     0    290.2  -1.8  -3.2         
   875  -3.1  -2.8  1275   7.4   6.6  61.6     0    291.5  -2.5  -3.3         
   850  -3.3  -1.4  1514   8.1  10.6  32.9     0    294.6  -2.9  -2.0         
   825  -2.7  -1.8  1760   6.9  11.6  25.2     0    295.9  -2.3  -2.3         
   800  -1.7  -3.0  2012   6.6  11.3  15.2     0    298.2  -1.1  -3.3         
   775 -0.88  -4.1  2272   6.6   8.3   6.3     0    300.9  -0.0  -4.2         
   750 -0.60  -5.2  2540   6.0   8.1   1.2     0    303.1   0.5  -5.2         
   725 -0.74  -7.0  2816   4.0   8.8   2.1     0    303.9   0.7  -7.0         
   700 -0.50  -8.7  3100   3.5   9.6   3.0     0    306.4   1.2  -8.6         
   650   1.7 -11.0  3698   1.3  13.2   2.0     0    310.4   3.9 -10.4         
   600   4.2 -11.8  4337  -2.6  13.6  16.0  2E-2    313.1   6.5 -10.7         
   550   8.7 -14.2  5021  -6.3  12.7   8.0  2E-2    316.6  11.4 -12.1         
   500  10.4 -15.3  5758 -11.3  12.3  21.0     0    319.2  13.2 -12.9         
   450   5.1 -16.7  6555 -17.8  11.4  34.0     0    320.9   8.3 -15.3         
   400   1.6 -20.3  7425 -24.6   7.7  33.0  3E-2    323.0   5.6 -19.6         
   350   4.5 -24.6  8379 -32.9   2.9  47.0  2E-2    324.3   9.3 -23.2         
   300   9.3 -30.1  9444 -41.6   2.4  49.2  2E-2    326.7  15.2 -27.6         
   250   9.1 -30.8 10655 -48.7   2.4  15.9  2E-2    333.7  15.1 -28.4         
   200  22.4 -20.1 12121 -49.6  1.00   3.4  2E-2    354.2  26.0 -15.2         
   150  20.7 -13.9 13953 -60.6  0.68   4.6  2E-2    365.7  23.0  -9.5         
   100   9.7  -4.7 16413 -70.2  -1.7   9.6  2E-2    392.0  10.4  -2.6         
    50   5.0  -1.1 20559 -66.1  0.24   7.2  2E-2    487.7   5.1  -0.0         
