Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
18:38:10, 10, 0, 102262,  ,  , 25.04,  ,  ,  ,  , 
18:38:10, 10, 0, 102260,  ,  , 25.16,  ,  ,  ,  , 
18:38:11, 10, 0, 102258,  ,  , 25.04,  ,  ,  ,  , 
18:38:12, 10, 0, 102256,  ,  , 26.22,  ,  ,  ,  , 
18:38:14, 10, 0, 102256,  ,  , 25.63,  ,  ,  ,  , 
18:38:15, 10, 0, 102257,  ,  , 25.63,  ,  ,  ,  , 
18:38:16, 10, 0, 102258,  ,  , 24.46,  ,  ,  ,  , 
18:38:16, 9, 0, 102262,  ,  , 23.77,  ,  ,  ,  , 
18:38:17, 9, 0, 102267,  ,  , 23.32,  ,  ,  ,  , 
18:38:18, 9, 0, 102272,  ,  , 22.65,  ,  ,  ,  , 
18:38:20, 9, 0, 102267,  ,  , 22.20,  ,  ,  ,  , 
18:38:21, 9, 0, 102263,  ,  , 22.20,  ,  ,  ,  , 
18:38:22, 10, 0, 102260,  ,  , 22.09,  ,  ,  ,  , 
18:38:23, 10, 0, 102260,  ,  , 21.98,  ,  ,  ,  , 
18:38:24, 10, 0, 102261,  ,  , 21.87,  ,  ,  ,  , 
18:38:25, 10, 0, 102262,  ,  , 21.76,  ,  ,  ,  , 
18:38:28, 10, 0, 102250,  ,  , 19.82,  ,  ,  ,  , 
18:38:29, 12, 2, 102228,  ,  , 18.77,  ,  ,  ,  , 
18:38:30, 14, 4, 102207,  ,  , 18.04,  ,  ,  ,  , 
18:38:31, 16, 6, 102186,  ,  , 17.84,  ,  ,  ,  , 
18:38:32, 15, 5, 102189,  ,  , 18.35,  ,  ,  ,  , 
18:38:33, 15, 5, 102192,  ,  , 18.77,  ,  ,  ,  , 
18:38:34, 15, 5, 102196,  ,  , 18.56,  ,  ,  ,  , 
18:38:35, 13, 3, 102222,  ,  , 18.15,  ,  ,  ,  , 
18:38:36, 11, 1, 102247,  ,  , 17.94,  ,  ,  ,  , 
18:38:37, 9, 0, 102272,  ,  , 17.63,  ,  ,  ,  , 
18:38:38, 9, 0, 102269,  ,  , 17.73,  ,  ,  ,  , 
18:38:39, 9, 0, 102266,  ,  , 18.04,  ,  ,  ,  , 
18:38:40, 9, 0, 102264,  ,  , 17.84,  ,  ,  ,  , 
18:38:41, 9, 0, 102263,  ,  , 17.73,  ,  ,  ,  , 
18:38:42, 9, 0, 102262,  ,  , 17.63,  ,  ,  ,  , 
18:38:43, 10, 0, 102262,  ,  , 17.84,  ,  ,  ,  , 
18:38:45, 10, 0, 102262,  ,  , 18.87,  ,  ,  ,  , 
18:38:46, 10, 0, 102262,  ,  , 19.50,  ,  ,  ,  , 
18:38:47, 10, 0, 102262,  ,  , 19.82,  ,  ,  ,  , 
18:38:48, 10, 0, 102262,  ,  , 19.93,  ,  ,  ,  , 
18:38:49, 10, 0, 102262,  ,  , 19.50,  ,  ,  ,  , 
18:38:50, 10, 0, 102261,  ,  , 19.19,  ,  ,  ,  , 
18:38:51, 10, 0, 102260,  ,  , 18.56,  ,  ,  ,  , 
18:38:52, 10, 0, 102260,  ,  , 18.56,  ,  ,  ,  , 
18:38:53, 9, 0, 102262,  ,  , 18.56,  ,  ,  ,  , 
18:38:54, 9, 0, 102264,  ,  , 18.98,  ,  ,  ,  , 
18:38:55, 9, 0, 102266,  ,  , 18.77,  ,  ,  ,  , 
18:38:56, 9, 0, 102264,  ,  , 18.66,  ,  ,  ,  , 
18:38:57, 9, 0, 102262,  ,  , 18.35,  ,  ,  ,  , 
18:38:58, 10, 0, 102260,  ,  , 18.46,  ,  ,  ,  , 
18:39:00, 10, 0, 102258,  ,  , 19.71,  ,  ,  ,  , 
18:39:01, 10, 0, 102258,  ,  , 20.46,  ,  ,  ,  , 
18:39:02, 10, 0, 102260,  ,  , 20.46,  ,  ,  ,  , 
18:39:03, 9, 0, 102263,  ,  , 20.14,  ,  ,  ,  , 
18:39:04, 9, 0, 102266,  ,  , 19.71,  ,  ,  ,  , 
18:39:07, 10, 0, 102260,  ,  , 21.65,  ,  ,  ,  , 
18:39:08, 9, 0, 102263,  ,  , 21.43,  ,  ,  ,  , 
