 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 149, 208) to Lat:    37.91, Lon:  -122.06
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1002   168  1022     0     0  10.4  88.9  -1.2  0.23  1002   7.5  -2.8  15.5   1.1  50.5  1539   8.7   285   864     0     0     0     0     0  24.4   4.0     0     0   290  14.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.0  0.40   180  11.2   1.9  85.4     0    284.3  -2.0  -0.0         
   975  -3.8  0.53   392  12.2   5.3  74.4  0.12    287.4  -3.8  -0.2         
   950  -3.7   1.0   609  10.1  10.0  83.6  0.25    287.4  -3.8   0.3         
   925  -4.1   1.6   830   8.4  12.3  88.3     0    287.9  -4.3   0.8         
   900  -3.6  0.96  1058  10.8   6.9  58.6     0    292.6  -3.8   0.2         
   875  -3.0  1.00  1292  10.2   4.1  37.7     0    294.4  -3.1   0.4         
   850  -1.6  0.41  1533   9.7   3.3  22.9     0    296.3  -1.6   0.1         
   825 -0.34     0  1780   9.5   2.6  10.3     0    298.6  -0.3  -0.1         
   800  0.47  1E-1  2034   9.3   1.8   3.2     0    301.1   0.4   0.2         
   775   1.1  0.69  2297   9.1     0     0     0    303.6   1.0   0.9         
   750   1.1   1.2  2567   8.9   2.8     0     0    306.3   0.8   1.3         
   725  0.57   1.0  2847   8.6   2.2     0  2E-2    308.9   0.4   1.1         
   700 -0.59   1.0  3135   6.4   3.8     0     0    309.5  -0.8   0.9         
   650  -1.1   1.1  3736   2.0   8.5   3.0  2E-2    311.3  -1.3   0.9         
   600   3.2  0.13  4378  0.20   3.7  10.0  2E-2    316.4   3.1   0.8         
   550   7.6  0.51  5069  -3.8  0.75   7.2  2E-2    319.6   7.4   2.0         
   500   9.1  0.68  5812 -10.0   2.5  16.0  2E-2    320.9   8.8   2.5         
   450  10.0  0.14  6613 -16.9   4.2  29.0  2E-2    321.9   9.8   2.1         
   400  11.9  -1.1  7484 -24.3   3.7  40.1  2E-2    323.4  11.9   1.3         
   350  13.2  -1.4  8440 -32.2   3.8  49.0  2E-2    325.3  13.2   1.2         
   300  13.0 -0.95  9509 -40.9   2.9  47.5  2E-2    327.7  12.9   1.7         
   250  10.0 -0.59 10726 -48.2   2.0  34.2  2E-2    334.4   9.9   1.4         
   200   8.7  -1.8 12176 -54.2   1.9  11.6  2E-2    347.0   8.9  -0.0         
   150  12.5   1.7 13984 -62.1     0   7.7  2E-2    363.2  11.9   4.1         
   100  11.8   2.8 16429 -71.2  0.38  11.6  2E-2    390.3  11.0   5.1         
    50   2.7   4.0 20562 -65.6  0.27   7.2  2E-2    488.9   1.9   4.5         
