 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 149, 210) to Lat:    38.12, Lon:  -122.11
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  40.1  1022     0     0   9.9  86.9 -0.74 -0.39  1016   3.5  -2.8   9.3  0.94  42.5   131   7.7   281   504     0     0     0     0     0  24.4     0     0     0   292  13.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.88  0.15   181  11.7   1.1  78.4     0    284.8  -0.9  -0.0         
   975  -1.7   1.4   393  12.0   1.7  74.4  0.12    287.2  -1.9   1.0         
   950  -3.0   1.3   610  10.1   5.6  84.6  0.25    287.4  -3.2   0.6         
   925  -3.2  0.87   831   8.2   8.8  91.3     0    287.8  -3.3   0.2         
   900  -4.0  0.58  1058  10.1   6.9  65.6     0    292.0  -4.0  -0.2         
   875  -3.4  0.50  1292   9.8   4.1  39.7     0    294.0  -3.4  -0.2         
   850  -1.8 -1E-1  1533   9.8   3.3  19.9     0    296.4  -1.8  -0.5         
   825 -0.34 -0.15  1780   9.5     0   9.3     0    298.6  -0.3  -0.2         
   800  0.72  1E-1  2034   9.2   1.8   3.2     0    300.9   0.7   0.2         
   775   1.4  0.81  2296   8.9     0   1.1     0    303.3   1.2   1.1         
   750   1.6   1.5  2567   8.8   2.8   1.0     0    306.1   1.3   1.8         
   725  0.95   2.0  2847   8.3   3.9     0  2E-2    308.6   0.5   2.2         
   700 -0.47   1.9  3135   6.2   5.5     0     0    309.4  -0.8   1.8         
   650  -1.3   1.1  3735   1.6   7.6   4.0  2E-2    310.8  -1.5   0.9         
   600   3.2  0.63  4376 -5E-2   3.7  10.0  2E-2    316.1   3.0   1.2         
   550   7.8   1.1  5068  -4.0  0.75   7.2  2E-2    319.4   7.4   2.6         
   500   9.3   1.3  5810 -10.0   2.5  16.0  2E-2    320.9   8.9   3.1         
   450  10.5  0.64  6611 -16.9   4.2  29.0  2E-2    321.9  10.2   2.7         
   400  12.4 -0.56  7482 -24.3   4.6  40.1  2E-2    323.4  12.3   1.9         
   350  13.6  -1.3  8438 -32.2   4.7  53.0  2E-2    325.3  13.5   1.4         
   300  13.4  -1.1  9507 -40.9   3.8  49.5  2E-2    327.7  13.3   1.6         
   250  10.3 -0.34 10724 -48.2   2.0  34.2  2E-2    334.4  10.2   1.7         
   200   9.4  -1.4 12174 -54.2   1.9  11.6  2E-2    347.0   9.5   0.5         
   150  12.8   1.8 13982 -62.1   1.2   7.7  2E-2    363.2  12.2   4.3         
   100  12.0   2.8 16426 -71.3  0.38  11.6  2E-2    390.0  11.2   5.1         
    50   2.7   4.0 20562 -65.6  0.27   7.2  2E-2    488.9   1.9   4.5         
