 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 150, 208) to Lat:    37.93, Lon:  -121.93
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1002   160  1022     0     0  10.4  84.9 -0.99  0.48  1002   3.5  -2.8  13.9  0.94  42.5  1411   9.7   284   560     0     0     0     0     0  24.4  64.0     0     0   291  13.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.0 -1E-1   181  11.3 -0.26  81.4     0    284.4  -1.9  -0.5         
   975  -2.9  0.28   393  12.1   1.7  73.4  0.12    287.3  -2.9  -0.3         
   950  -3.3   1.0   610  10.1   9.1  85.6  0.25    287.4  -3.5   0.3         
   925  -3.7   1.5   831   8.1  12.3  94.3     0    287.6  -3.9   0.7         
   900  -3.9   1.5  1058  10.0  10.4  65.6     0    291.8  -4.1   0.7         
   875  -3.0   1.4  1292   9.9   7.6  42.7     0    294.1  -3.2   0.8         
   850  -1.6  0.53  1533   9.7   5.0  23.9     0    296.3  -1.7   0.2         
   825 -0.59  0.10  1780   9.3   2.6  11.3     0    298.5  -0.6  -0.0         
   800  0.47  1E-1  2034   9.2   1.8   4.2     0    300.9   0.4   0.2         
   775   1.1  0.44  2296   9.0   2.2   1.1     0    303.5   1.0   0.6         
   750   1.2  0.65  2567   8.9   2.8     0     0    306.3   1.1   0.9         
   725  0.45  0.66  2847   8.6   3.9     0  2E-2    308.9   0.3   0.7         
   700 -0.47  0.67  3135   6.2   5.5     0     0    309.4  -0.6   0.6         
   650  -1.5  0.77  3735   2.0   8.5   3.0  2E-2    311.3  -1.6   0.5         
   600   2.6  0.13  4378  0.45   2.4   9.0  2E-2    316.7   2.5   0.6         
   550   7.4  0.26  5070  -3.8     0   7.2  2E-2    319.6   7.2   1.7         
   500   8.9  0.43  5813 -10.0   1.6  16.0  2E-2    320.9   8.7   2.2         
   450   9.7 -0.36  6614 -16.9   3.3  31.0  2E-2    321.9   9.6   1.6         
   400  11.6  -1.4  7484 -24.3   3.7  40.1  2E-2    323.4  11.7   0.9         
   350  13.2  -1.7  8440 -32.1   3.8  47.0  2E-2    325.5  13.3   1.0         
   300  13.0  -1.1  9509 -40.9   2.9  45.5  2E-2    327.7  13.0   1.5         
   250   9.7  -1.1 10726 -48.2   2.0  34.2  2E-2    334.4   9.7   0.8         
   200   8.6  -2.1 12176 -54.2   1.9  11.6  2E-2    347.0   8.9  -0.3         
   150  12.2   1.3 13985 -62.1     0   7.7  2E-2    363.2  11.7   3.7         
   100  11.8   2.7 16429 -71.2  0.38  11.6  2E-2    390.3  11.0   4.9         
    50   2.7   4.0 20563 -65.6  0.27   7.2  2E-2    488.9   1.9   4.5         
