 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 150, 210) to Lat:    38.14, Lon:  -121.98
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017  32.1  1022     0     0  11.4  79.9 -0.49     0  1017   7.5     0  18.6   1.9  50.5  1539  11.7   286   464     0     0     0     0     0  24.4   4.0     0     0   291  12.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.76 -0.60   181  11.9 -0.26  77.4     0    285.1  -0.6  -0.7         
   975  -1.3  0.78   394  12.1   3.9  75.4  0.38    287.3  -1.4   0.5         
   950  -2.6  0.89   610  10.0   9.1  84.6  0.25    287.3  -2.7   0.4         
   925  -2.8  0.74   831   7.9  12.3  94.3  0.25    287.4  -2.9   0.2         
   900  -3.9  0.71  1059  10.0   8.6  71.6     0    291.8  -3.9  -0.1         
   875  -3.1  0.75  1293   9.6   5.9  44.7     0    293.7  -3.2   0.1         
   850  -1.8  0.16  1533   9.5   5.0  22.9     0    296.1  -1.8  -0.2         
   825 -0.46 -0.15  1780   9.3   4.3  10.3     0    298.5  -0.4  -0.2         
   800  0.60 -4E-2  2034   9.0   1.8   4.2     0    300.8   0.6   0.1         
   775   1.4  0.31  2296   8.7   2.2   1.1     0    303.2   1.3   0.6         
   750   1.6  0.90  2566   8.8   2.8     0     0    306.1   1.4   1.2         
   725  0.95   1.4  2846   8.3   5.7     0  2E-2    308.6   0.7   1.6         
   700 -0.34   1.2  3134   6.2   9.0     0     0    309.4  -0.6   1.1         
   650  -1.7  0.89  3734   1.8   8.5   3.0  2E-2    311.0  -1.9   0.5         
   600   2.6  0.63  4376  1E-1   2.4   8.0  2E-2    316.2   2.4   1.1         
   550   7.5  0.76  5068  -4.0     0   7.2  2E-2    319.4   7.2   2.2         
   500   9.1  0.93  5811 -10.0   1.6  17.0  2E-2    320.9   8.7   2.7         
   450  10.2  0.14  6611 -16.9   3.3  30.0  2E-2    321.9  10.0   2.2         
   400  12.1  -1.1  7482 -24.3   3.7  41.1  2E-2    323.4  12.1   1.4         
   350  13.6  -1.5  8438 -32.2   3.8  51.0  2E-2    325.3  13.6   1.2         
   300  13.3  -1.2  9507 -40.9   2.9  47.5  2E-2    327.7  13.2   1.4         
   250  10.1 -0.72 10724 -48.2   2.0  34.2  2E-2    334.4  10.0   1.3         
   200   9.2  -1.7 12174 -54.2   1.9  11.6  2E-2    347.0   9.4   0.2         
   150  12.6   1.4 13982 -62.1   1.2   7.7  2E-2    363.2  12.1   3.9         
   100  12.0   2.7 16427 -71.3  0.38  11.6  2E-2    390.0  11.3   5.0         
    50   2.7   4.0 20562 -65.6  0.27   7.2  2E-2    488.9   1.9   4.5         
