 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 151, 209) to Lat:    38.06, Lon:  -121.82
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  48.1  1022     0     0  11.5  82.9 -0.74  0.36  1016   7.5     0  13.9  0.19  26.5   259  11.7   285   520     0     0     0     0     0  24.4  90.0     0     0   290  12.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.6  -2.0   181  11.5  -1.6  78.4     0    284.7  -1.2  -2.3         
   975  -1.5 -1E-1   394  12.2   5.3  74.4     0    287.4  -1.5  -0.4         
   950  -2.2  0.51   611  10.1  11.7  88.6  0.25    287.4  -2.3   0.1         
   925  -3.2  0.99   832   8.0  14.1  97.3  0.25    287.5  -3.3   0.3         
   900  -3.8   1.6  1059  10.1  10.4  74.6     0    292.0  -4.0   0.8         
   875  -2.9   1.2  1293   9.6   7.6  49.7     0    293.7  -3.0   0.7         
   850  -1.7  0.78  1533   9.4   6.8  24.9     0    296.0  -1.8   0.4         
   825 -0.46  0.48  1780   9.2   4.3  12.3     0    298.3  -0.5   0.4         
   800  0.47  0.33  2034   8.8   1.8   5.2     0    300.5   0.4   0.4         
   775   1.2  0.31  2296   8.6   2.2   1.1     0    303.1   1.2   0.6         
   750   1.5  0.28  2566   8.8   2.8     0     0    306.1   1.4   0.6         
   725  0.95  0.29  2846   8.3   5.7     0  2E-2    308.6   0.9   0.5         
   700 -0.22  0.42  3134   6.1   9.0     0     0    309.3  -0.3   0.4         
   650  -2.2  0.89  3734   2.0   8.5   2.0  2E-2    311.3  -2.4   0.4         
   600   1.9  0.38  4377  0.33   1.5   7.0  2E-2    316.5   1.8   0.8         
   550   7.3  0.26  5069  -3.8     0   8.2  2E-2    319.6   7.1   1.7         
   500   8.8  0.30  5812 -10.0  0.71  17.0  2E-2    320.9   8.6   2.0         
   450   9.7 -0.48  6613 -16.9   3.3  32.0  2E-2    321.9   9.6   1.4         
   400  11.8  -1.6  7483 -24.3   3.7  40.1  2E-2    323.4  11.8   0.8         
   350  13.3  -1.8  8439 -32.1   3.8  47.0  2E-2    325.5  13.4   0.9         
   300  13.0  -1.3  9508 -40.9   2.9  45.5  2E-2    327.7  13.0   1.3         
   250   9.7  -1.3 10725 -48.2   2.0  33.2  2E-2    334.4   9.8   0.6         
   200   8.7  -2.1 12175 -54.3   1.9  11.6  2E-2    346.8   9.0  -0.3         
   150  12.2   1.1 13984 -62.1   1.2   7.7  2E-2    363.2  11.8   3.4         
   100  11.9   2.6 16429 -71.2  0.38  11.6  2E-2    390.3  11.2   4.8         
    50   2.7   3.9 20563 -65.6  0.27   7.2  2E-2    488.9   1.9   4.3         
