 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 18  0
 Used Nearest Grid Point ( 150, 208) to Lat:    37.93, Lon:  -121.93
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1004   160  1023     0     0  13.0  86.7  -2.3 -0.17  1004  63.6   133  46.6  0.94   535   516  18.4   285   560     0     0     0     0     0  24.2     0     0     0   288  13.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.4 -1E-1   190  11.9  -4.9  91.2  0.65    285.1  -2.3  -0.6         
   975  -3.9  0.52   402  11.3  -3.2  91.6  0.50    286.5  -3.9  -0.2         
   950  -4.8   2.3   619  11.1   2.4  84.9     0    288.5  -5.1   1.3         
   925  -4.6   4.4   842  10.9   5.1  67.2     0    290.4  -5.4   3.4         
   900  -3.8   4.4  1070  11.4   4.2  38.2     0    293.2  -4.6   3.6         
   875  -2.3   3.4  1305  11.7   3.6  17.1     0    295.9  -2.9   2.9         
   850 -0.80   1.9  1547  11.4   1.8   4.4     0    298.1  -1.2   1.7         
   825  0.46   1.3  1795  10.8     0     0     0    300.0   0.2   1.3         
   800  0.89   1.5  2050  10.7 -0.70     0     0    302.5   0.6   1.7         
   775  0.62   1.9  2314  10.9  -1.9   1.0     0    305.5   0.2   1.9         
   750  1E-1   2.0  2586  10.0  -2.1   1.0     0    307.4  -0.4   2.0         
   725 -1E-1   1.7  2866   8.0  -2.2   2.0     0    308.3  -0.4   1.7         
   700 -0.38   1.8  3154   5.5  -1.0   4.0     0    308.6  -0.7   1.7         
   650 -0.75   2.9  3753   1.9   2.2   5.0     0    311.1  -1.3   2.7         
   600   1.5   2.8  4396 -0.42   2.2   9.0  2E-2    315.6   0.9   3.0         
   550   6.9   2.3  5086  -4.2   1.8   6.0  2E-2    319.1   6.3   3.6         
   500  11.1   2.2  5828  -9.3  0.83   8.0  2E-2    321.7  10.4   4.3         
   450  11.7   2.9  6632 -16.1 -0.37  15.0  2E-2    323.1  10.9   5.2         
   400  12.2   2.0  7505 -23.9  -2.0  35.0  2E-2    324.0  11.6   4.4         
   350  12.6   1.0  8462 -31.9  -1.8  57.0  2E-2    325.8  12.1   3.5         
   300  11.8   1.5  9532 -40.7 -0.72  66.0  2E-2    328.1  11.3   3.8         
   250  10.3   2.6 10749 -48.0 -0.54  39.0  2E-2    334.7   9.6   4.6         
   200   7.2   2.0 12199 -54.9     0  12.5  2E-2    345.8   6.7   3.4         
   150  13.2   3.6 14004 -62.4  0.61   7.7  2E-2    362.6  12.2   6.1         
   100   9.2   6.5 16447 -70.9   1.1  10.6  2E-2    390.8   7.7   8.2         
    50   3.9   4.8 20603 -65.5 -0.19   7.2  2E-2    489.2   2.8   5.5         
