 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 18  0
 Used Nearest Grid Point ( 151, 208) to Lat:    37.95, Lon:  -121.80
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1010   104  1023     0     0  13.2  84.7  -1.8 -0.30  1010  43.6   141  46.6   1.1   527   516  18.9   287   864     0     0     0     0     0  24.2     0     0     0   288  13.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.0 -0.33   191  11.5  -5.8  92.2  0.77    284.7  -1.9  -0.7         
   975  -3.2  0.52   403  11.4  -4.1  89.6  0.25    286.6  -3.3  -0.1         
   950  -4.3   2.5   620  11.0  0.23  86.9     0    288.3  -4.7   1.7         
   925  -4.3   4.3   842  10.5   2.5  71.2     0    290.1  -5.0   3.3         
   900  -3.4   4.3  1071  11.1   3.3  41.2     0    293.0  -4.2   3.5         
   875  -2.2   3.6  1305  11.2   2.8  19.1     0    295.4  -2.8   3.1         
   850 -0.80   2.3  1547  11.0   1.8   6.4     0    297.7  -1.2   2.1         
   825  0.21   1.6  1795  10.8   1.3   1.2     0    300.0  -0.1   1.6         
   800  0.39   1.7  2051  10.9   1.1   1.0     0    302.8   0.1   1.7         
   775     0   1.9  2315  10.9  0.77   1.0     0    305.5  -0.4   1.8         
   750 -0.32   1.8  2587   9.8  0.55   1.0     0    307.2  -0.7   1.7         
   725 -0.32   1.5  2866   7.8     0   2.0     0    308.0  -0.6   1.4         
   700 -0.38   1.6  3153   5.3   1.2   3.0     0    308.3  -0.7   1.5         
   650  -1.0   2.9  3753   1.9   2.2   5.0     0    311.1  -1.5   2.6         
   600   1.5   2.8  4395  1E-1   2.2   7.0  2E-2    316.2   0.9   3.0         
   550   6.7   2.0  5086  -4.1   1.8   5.0  2E-2    319.2   6.2   3.3         
   500  10.8   1.9  5829  -9.5  0.83   8.0  2E-2    321.5  10.3   4.0         
   450  11.5   2.4  6632 -16.1  -1.3  15.0  2E-2    323.1  10.8   4.7         
   400  12.0   1.4  7505 -23.9  -2.0  36.0  2E-2    324.0  11.5   3.7         
   350  12.3  0.53  8462 -31.9  -1.8  57.0  2E-2    325.8  12.0   2.9         
   300  11.8   1.0  9532 -40.7  -2.0  66.0  2E-2    328.1  11.4   3.3         
   250  10.1   2.2 10749 -48.1 -0.54  39.0  2E-2    334.5   9.5   4.2         
   200   7.1   1.6 12198 -55.0     0  12.5  2E-2    345.6   6.6   3.0         
   150  13.1   3.2 14003 -62.3  0.61   7.7  2E-2    362.8  12.2   5.7         
   100   9.2   6.4 16447 -70.9   1.1  10.6  2E-2    390.8   7.7   8.1         
    50   3.9   4.8 20601 -65.5 -0.19   7.2  2E-2    489.2   2.8   5.5         
