 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 18  0
 Used Nearest Grid Point ( 151, 209) to Lat:    38.06, Lon:  -121.82
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017  48.1  1023     0     0  13.5  83.7  -1.7 -0.55  1017  55.6   137  38.8  0.19   527  1156  18.9   285   520     0     0     0     0     0  24.2     0     0     0   288  13.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.3 -0.83   190  11.2  -3.6  93.2  0.52    284.3  -2.1  -1.3         
   975  -3.2  0.15   403  11.9  -1.9  83.6     0    287.1  -3.2  -0.5         
   950  -4.0   2.4   621  11.2   2.4  85.9     0    288.6  -4.4   1.6         
   925  -3.9   4.0   843  10.1   4.3  72.2     0    289.7  -4.6   3.2         
   900  -3.3   4.2  1071  11.0   3.3  44.2     0    292.8  -4.1   3.4         
   875  -2.2   3.3  1305  11.0   3.6  20.1     0    295.3  -2.8   2.8         
   850 -0.93   2.3  1547  10.9   1.8   6.4     0    297.5  -1.4   2.1         
   825  1E-1   1.8  1795  10.8   1.3   1.2     0    300.0  -0.3   1.7         
   800  0.39   2.0  2050  11.0   1.1   1.0     0    302.9  -0.0   2.1         
   775  0.12   2.2  2315  10.9 -0.99   1.0     0    305.5  -0.3   2.2         
   750 -1E-1   2.0  2587   9.8     0   2.0     0    307.2  -0.5   2.0         
   725 -0.20   1.7  2866   7.7     0   2.0     0    307.9  -0.5   1.7         
   700 -0.38   1.8  3153   5.1   1.2   4.0     0    308.2  -0.7   1.7         
   650  -1.1   3.0  3752   1.8   2.2   5.0     0    311.0  -1.7   2.7         
   600   1.5   2.8  4394 -0.17  0.89   7.0  2E-2    315.9   0.9   3.0         
   550   6.6   2.3  5084  -4.2  0.53   5.0  2E-2    319.1   6.0   3.5         
   500  10.7   2.2  5827  -9.5 -0.49   8.0  2E-2    321.5  10.1   4.2         
   450  11.5   2.7  6630 -16.1  -1.3  16.0  2E-2    323.1  10.7   4.9         
   400  12.3   1.8  7503 -24.0  -2.0  36.0  2E-2    323.8  11.7   4.2         
   350  12.8  0.78  8460 -32.0  -1.8  59.0  2E-2    325.6  12.4   3.3         
   300  12.0   1.3  9530 -40.7 -0.72  68.0  2E-2    328.1  11.6   3.6         
   250  10.4   2.3 10746 -48.0 -0.54  39.0  2E-2    334.7   9.7   4.3         
   200   7.2   1.9 12196 -55.0     0  12.5  2E-2    345.6   6.7   3.2         
   150  13.3   3.4 14001 -62.4  0.61   7.7  2E-2    362.6  12.4   5.9         
   100   9.3   6.5 16444 -70.9   1.1  10.6  2E-2    390.8   7.8   8.2         
    50   4.0   4.7 20600 -65.5 -0.19   7.2  2E-2    489.2   3.0   5.4         
