 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 18  0
 Used Nearest Grid Point ( 151, 211) to Lat:    38.27, Lon:  -121.88
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1020  32.1  1023     0     0  13.5  83.7  -1.4  -1.0  1020  75.6   133  34.1  0.19   519   516  18.6   285   520     0     0     0     0     0  24.2   2.0     0     0   288  13.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.0  -2.0   190  10.9     0  93.2  0.40    284.1  -1.6  -2.3         
   975  -2.7  -1.1   403  12.0 -1.00  79.6     0    287.3  -2.5  -1.6         
   950  -3.4   1.3   621  11.6  -1.1  78.9     0    289.0  -3.6   0.6         
   925  -3.4   3.1   844  10.0     0  78.2     0    289.5  -3.9   2.4         
   900  -3.1   3.9  1071  10.5     0  51.2     0    292.3  -3.8   3.2         
   875  -2.2   3.2  1306  10.4   1.9  23.1     0    294.6  -2.8   2.7         
   850 -0.80   2.3  1546  10.5   2.7   6.4     0    297.1  -1.2   2.1         
   825  0.34   2.0  1794  10.5   2.1   1.2     0    299.8  -0.1   2.0         
   800  0.64   2.5  2050  10.8   1.1   1.0     0    302.7   0.1   2.6         
   775  0.62   2.9  2314  10.6  0.77   1.0     0    305.2   0.0   2.9         
   750  0.43   2.7  2586   9.6  0.55   2.0     0    307.0  -0.1   2.7         
   725  0.18   2.2  2865   7.8   1.3   2.0     0    308.0  -0.3   2.2         
   700 -0.25   2.1  3152   5.1   1.2   4.0     0    308.2  -0.7   2.0         
   650  -1.3   3.1  3751   1.4   2.2   5.0     0    310.6  -1.8   2.8         
   600   1.2   3.1  4392 -0.54  0.89   7.0  2E-2    315.5   0.6   3.3         
   550   6.1   2.8  5081  -4.5  0.53   6.0  2E-2    318.8   5.4   3.9         
   500  10.2   2.8  5824  -9.6 -0.49   9.0  2E-2    321.4   9.5   4.7         
   450  11.6   3.2  6626 -16.3  -1.3  16.0  2E-2    322.7  10.7   5.4         
   400  13.2   2.4  7499 -24.0  -2.0  36.0  2E-2    323.8  12.5   5.0         
   350  13.8   1.2  8455 -32.1  -1.8  64.0  2E-2    325.5  13.3   3.9         
   300  12.5   1.7  9525 -40.8 -0.72  70.0  2E-2    327.9  12.0   4.1         
   250  10.6   2.7 10741 -48.0  0.55  38.0  2E-2    334.7   9.9   4.8         
   200   7.5   2.4 12190 -54.9     0  12.5  2E-2    345.8   6.9   3.8         
   150  13.6   3.7 13996 -62.4  0.61   7.7  2E-2    362.6  12.6   6.3         
   100   9.4   6.5 16439 -70.7   1.1  10.6  2E-2    391.1   7.9   8.3         
    50   4.0   4.7 20597 -65.4 -0.19   7.2  2E-2    489.5   3.0   5.4         
