 alt    temp     wind-dir spd
(m-AGL)  (C)   (°)          (m/s)
  6000  -11.1           245 13.3
  5900  -10.2           243 12.6
  5800   -9.4           242 12.0
  5700   -8.6           244 11.7
  5600   -7.8           243 11.2
  5500   -7.0           237 10.1
  5400   -6.5           233 8.6
  5300   -5.7           221 7.6
  5200   -5.0           223 7.4
  5100   -4.7           220 7.4
  5000   -4.5           213 8.2
  4900   -3.7           214 9.2
  4800   -3.1           224 8.4
  4700   -2.5           229 5.9
  4600   -2.2           220 4.0
  4500   -1.7           200 4.0
  4400   -0.8           184 5.7
  4300   -0.1           181 7.2
  4200    0.2           189 7.4
  4100    0.7           199 6.1
  4000    0.9           218 4.3
  3900    1.2           254 2.8
  3800    1.6           221 2.2
  3700    2.1           177 2.4
  3600    2.4           166 2.9
  3500    2.5           183 3.3
  3400    3.0           193 3.5
  3300    3.9           195 3.4
  3200    4.9           202 3.1
  3100    5.7           219 2.8
  3000    6.3           251 2.5
  2900    6.8           223 2.5
  2800    7.4           204 2.6
  2700    8.2           195 3.1
  2600    9.2           190 3.8
  2500    9.9           185 4.6
  2400   10.1           215 5.3
  2300    9.8           220 5.5
  2200   10.3           220 5.2
  2100   10.7           236 4.4
  2000   10.9           257 3.3
  1900   10.9           276 2.2
  1800   11.2           290 1.7
  1700   11.8           149 1.9
  1600   12.0           135 2.6
  1500   11.8           135 3.5
  1400   11.8           143 4.4
  1300   12.1           124 4.9
  1200   12.2           136 5.1
  1100   10.7           142 5.3
  1000   11.5           141 6.1
   900   12.3           126 7.2
   800   11.8           119 8.2
   700   12.0           110 8.1
   600   11.1            95 6.7
   500   11.7            88 5.1
   400   12.1            94 5.7
   300   12.9            99 4.8
   200                      0.0
   100                      0.0
    10                      0.0

