Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
22:32:27, 2, 2, 102228, 0.05, 117.70, 20.89,  ,  , 38.006305, -121.641905, 0.3
22:32:28, 3, 3, 102217, 1.80, 139.30, 20.35,  ,  ,  ,  , 0.3
22:32:29, 3, 3, 102207, 1.90, 146.30, 20.03,  ,  ,  ,  , 0.2
22:32:30, 4, 4, 102198, 1.60, 162.80, 19.82,  ,  , 38.006277, -121.641880, 0.2
22:32:31, 5, 5, 102188, 1.75, 151.80, 19.71,  ,  ,  ,  , 0.2
22:32:32, 6, 6, 102179, 0.65, 134.50, 19.61,  ,  ,  ,  , 0.3
22:32:33, 7, 7, 102170, 1.50, 147.00, 19.61,  ,  , 38.006242, -121.641853, 0.3
22:32:34, 8, 8, 102150, 1.80, 134.60, 19.61,  ,  ,  ,  , 0.5
22:32:35, 10, 10, 102131, 1.10, 148.50, 19.61,  ,  ,  ,  , 0.7
22:32:36, 11, 11, 102112, 2.15, 159.70, 19.61,  ,  , 38.006205, -121.641822, 0.8
22:32:37, 12, 12, 102099, 1.30, 150.20, 19.61,  ,  ,  ,  , 0.9
22:32:38, 13, 13, 102086, 1.40, 176.40, 19.50,  ,  ,  ,  , 1.0
22:32:39, 15, 15, 102074, 1.50, 166.30, 19.40,  ,  , 38.006163, -121.641798, 1.1
22:32:40, 15, 15, 102064, 1.10, 153.10, 19.40,  ,  ,  ,  , 1.0
22:32:41, 16, 16, 102055, 2.20, 157.70, 19.50,  ,  ,  ,  , 1.0
22:32:42, 17, 17, 102046, 1.40, 169.30, 19.61,  ,  , 38.006123, -121.641778, 1.0
22:32:44, 22, 22, 101983, 1.45, 154.60, 19.50,  ,  ,  ,  , 1.3
22:32:45, 25, 25, 101952, 1.10, 160.40, 19.50,  ,  , 38.006085, -121.641763, 1.4
22:32:46, 25, 25, 101944, 2.45, 154.50, 19.50,  ,  ,  ,  , 1.4
22:32:47, 26, 26, 101937, 1.55, 161.00, 19.50,  ,  ,  ,  , 1.4
22:32:48, 26, 26, 101930, 2.15, 165.70, 19.40,  ,  , 38.006035, -121.641740, 1.3
22:32:49, 27, 27, 101923, 2.35, 153.80, 19.40,  ,  ,  ,  , 1.2
22:32:50, 28, 28, 101916, 1.55, 161.20, 19.50,  ,  ,  ,  , 1.2
22:32:51, 28, 28, 101910, 2.00, 158.40, 19.40,  ,  , 38.005982, -121.641715, 1.1
22:32:52, 31, 31, 101873, 1.55, 170.40, 19.50,  ,  ,  ,  , 1.3
22:32:53, 34, 34, 101837, 0.40, 161.50, 19.50,  ,  ,  ,  , 1.5
22:32:54, 37, 37, 101802, 1.20, 154.10, 19.50,  ,  , 38.005945, -121.641702, 1.7
22:32:56, 39, 39, 101783, 1.50, 161.80, 19.40,  ,  ,  ,  , 1.4
