 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 21  0
 Used Nearest Grid Point ( 152, 209) to Lat:    38.08, Lon:  -121.69
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019  16.1  1021     0     0  19.4  60.8  -2.4  -1.1  1019  66.8   193  46.0  0.28   550  1224  24.8   290   384     0     0     0     0     0  24.3  72.0     0     0   283  10.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.5 -0.89   176  16.4  -4.1  69.5   1.5    289.6  -2.2  -1.4         
   975  -2.6 -0.66   392  14.2  -4.1  77.6   1.4    289.5  -2.4  -1.2         
   950  -3.3   1.8   611  12.2  -1.5  82.4   1.2    289.6  -3.6   1.1         
   925  -2.9   5.3   834  12.6   3.3  44.6  0.25    292.2  -3.9   4.6         
   900  -2.3   5.0  1064  12.8   3.4  20.3     0    294.7  -3.2   4.5         
   875  -1.4   4.0  1300  12.2   3.3  10.3     0    296.5  -2.1   3.6         
   850 -0.12   2.9  1542  11.8   3.7   3.1     0    298.5  -0.7   2.9         
   825  0.81   2.0  1790  11.4   4.0   1.3     0    300.7   0.4   2.2         
   800   1.5   1.8  2047  11.2   4.0  0.31     0    303.1   1.1   2.1         
   775   1.8   1.9  2311  10.7   3.5   1.1     0    305.3   1.4   2.3         
   750   2.1   1.9  2583   9.5   3.5   2.0     0    306.9   1.7   2.3         
   725   2.4   1.7  2862   7.6   3.6   2.1  3E-2    307.8   2.0   2.1         
   700   2.7   1.9  3149   5.4   3.5   3.0     0    308.5   2.3   2.4         
   650   2.8   4.3  3749   2.8   4.1   5.0  2E-2    312.1   1.9   4.7         
   600   3.5   6.7  4393  1E-1   4.0   7.0     0    316.2   2.1   7.2         
   550   6.6   4.8  5083  -4.7   1.6  10.0     0    318.5   5.5   5.9         
   500  10.9   3.1  5824 -10.0  0.58  11.1  2E-2    320.9  10.1   5.1         
   450  13.4   4.3  6626 -16.5  -1.7  15.1  2E-2    322.5  12.3   6.9         
   400  12.9   5.9  7498 -24.2  -1.8  32.0  1E-2    323.5  11.5   8.3         
   350  12.0   5.6  8453 -32.7 -0.57  61.1  2E-2    324.6  10.7   7.9         
   300  10.7   6.3  9521 -41.0     0  69.3  2E-2    327.5   9.3   8.2         
   250   9.8   7.2 10733 -49.1   1.9  58.0  2E-2    333.1   8.2   9.0         
   200   8.7   6.1 12181 -54.6   1.4  12.4     0    346.3   7.4   7.7         
   150  13.1   6.2 13990 -61.7   1.7   5.7  2E-2    363.8  11.6   8.6         
   100   8.4  10.3 16439 -70.8 -0.53  10.7  2E-2    391.0   6.2  11.8         
    50   4.0   5.1 20585 -66.2 -0.13   8.2  2E-2    487.5   2.9   5.8         
