 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 21  0
 Used Nearest Grid Point ( 153, 208) to Lat:    37.99, Lon:  -121.53
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1021     0  1021     0     0  19.9  58.8  -2.1 -0.60  1021  70.8   209  42.9  0.28   550  1224  25.7   290   344     0     0     0     0     0  24.3  68.0     0     0   283  10.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.2 -0.39   175  16.6  -2.8  69.5   1.5    289.8  -2.1  -0.8         
   975  -2.3 -0.28   391  14.5  -1.5  77.6   1.5    289.7  -2.2  -0.7         
   950  -3.0   2.1   610  12.5     0  81.4   1.2    289.9  -3.3   1.4         
   925  -2.5   5.3   834  12.8   1.5  42.6  0.25    292.4  -3.5   4.7         
   900  -2.1   5.2  1064  12.8   2.6  21.3     0    294.7  -3.0   4.7         
   875  -1.3   4.2  1300  12.2   3.3  10.3     0    296.5  -2.1   3.9         
   850     0   3.3  1542  11.8   3.7   4.1     0    298.5  -0.6   3.3         
   825  0.93   2.7  1790  11.3   4.0   1.3     0    300.5   0.4   2.8         
   800   1.4   2.3  2046  11.2   4.0   1.3     0    303.1   0.9   2.5         
   775   1.6   2.1  2310  10.7   3.5   1.1     0    305.3   1.2   2.3         
   750   1.9   1.5  2582   9.3   3.5   2.0     0    306.7   1.6   1.9         
   725   2.2   1.2  2862   7.6   7.1   2.1  3E-2    307.8   2.0   1.6         
   700   2.6   1.7  3148   5.4   7.0   3.0     0    308.5   2.2   2.2         
   650   2.2   4.3  3749   2.8   4.1   4.0  2E-2    312.1   1.3   4.6         
   600   3.0   6.5  4393  0.46   2.3   6.0     0    316.7   1.6   6.9         
   550   6.4   4.8  5083  -4.6   1.6   8.0     0    318.7   5.4   5.9         
   500  10.8   2.7  5825 -10.0   3.2  10.1  2E-2    320.9  10.0   4.7         
   450  13.1   3.7  6627 -16.5  0.90  14.1  2E-2    322.5  12.1   6.2         
   400  12.1   5.1  7499 -24.1     0  32.0  1E-2    323.7  10.9   7.4         
   350  11.5   4.9  8454 -32.7   2.5  61.1  2E-2    324.6  10.4   7.0         
   300  10.7   5.6  9522 -41.0   2.1  68.3  2E-2    327.5   9.4   7.6         
   250   9.6   6.5 10734 -49.1   1.9  54.0  2E-2    333.1   8.1   8.2         
   200   8.4   5.4 12182 -54.6   1.4  12.4     0    346.3   7.2   7.0         
   150  12.8   6.0 13992 -61.6   1.7   5.7  2E-2    364.0  11.4   8.3         
   100   8.2  10.0 16440 -70.9 -0.53  10.7  2E-2    390.8   6.1  11.4         
    50   4.0   5.1 20585 -66.2 -0.13   8.2  2E-2    487.5   2.9   5.8         
